coin,block,total_supply,total_supply_pct,date
BTC,1,50.0,0.00023809523813071707,2009-01-01
BTC,4177,208850.0,0.994523809672005,2009-02-01
BTC,8209,410450.0,1.9545238098150564,2009-03-01
BTC,12673,633650.0,3.0173809528305773,2009-04-01
BTC,16993,849650.0,4.045952381555275,2009-05-01
BTC,21457,1072850.0,5.1088095245707965,2009-06-01
BTC,25777,1288850.0,6.1373809532954935,2009-07-01
BTC,30241,1512050.0,7.200238096311014,2009-08-01
BTC,34705,1735250.0,8.263095239326535,2009-09-01
BTC,39025,1951250.0,9.291666668051231,2009-10-01
BTC,43489,2174450.0,10.354523811066754,2009-11-01
BTC,47809,2390450.0,11.383095239791452,2009-12-01
BTC,52273,2613650.0,12.445952382806972,2010-01-01
BTC,56737,2836850.0,13.508809525822493,2010-02-01
BTC,60769,3038450.0,14.468809525965545,2010-03-01
BTC,65233,3261650.0,15.531666668981064,2010-04-01
BTC,69553,3477650.0,16.560238097705763,2010-05-01
BTC,74017,3700850.0,17.623095240721284,2010-06-01
BTC,78337,3916850.0,18.651666669445984,2010-07-01
BTC,82801,4140050.0,19.7145238124615,2010-08-01
BTC,87265,4363250.0,20.777380955477025,2010-09-01
BTC,91585,4579250.0,21.80595238420172,2010-10-01
BTC,96049,4802450.0,22.868809527217245,2010-11-01
BTC,100369,5018450.0,23.89738095594194,2010-12-01
BTC,104833,5241650.0,24.96023809895746,2011-01-01
BTC,109297,5464850.0,26.02309524197298,2011-02-01
BTC,113329,5666450.0,26.983095242116033,2011-03-01
BTC,117793,5889650.0,28.045952385131557,2011-04-01
BTC,122113,6105650.0,29.074523813856253,2011-05-01
BTC,126577,6328850.0,30.137380956871773,2011-06-01
BTC,130897,6544850.0,31.16595238559647,2011-07-01
BTC,135361,6768050.0,32.22880952861199,2011-08-01
BTC,139825,6991250.0,33.29166667162751,2011-09-01
BTC,144145,7207250.0,34.320238100352206,2011-10-01
BTC,148609,7430450.0,35.38309524336773,2011-11-01
BTC,152929,7646450.0,36.41166667209243,2011-12-01
BTC,157393,7869650.0,37.47452381510794,2012-01-01
BTC,161857,8092850.0,38.53738095812347,2012-02-01
BTC,166033,8301650.0,39.53166667255734,2012-03-01
BTC,170497,8524850.0,40.59452381557286,2012-04-01
BTC,174817,8740850.0,41.623095244297566,2012-05-01
BTC,179281,8964050.0,42.68595238731308,2012-06-01
BTC,183601,9180050.0,43.71452381603778,2012-07-01
BTC,188065,9403250.0,44.7773809590533,2012-08-01
BTC,192529,9626450.0,45.840238102068824,2012-09-01
BTC,196849,9842450.0,46.86880953079352,2012-10-01
BTC,201313,10065650.0,47.93166667380904,2012-11-01
BTC,205633,10281650.0,48.96023810253374,2012-12-01
BTC,210097,10502425.0,50.01154762649992,2013-01-01
BTC,214561,10614025.0,50.542976198007686,2013-02-01
BTC,218593,10714825.0,51.022976198079206,2013-03-01
BTC,223057,10826425.0,51.55440476958697,2013-04-01
BTC,227377,10934425.0,52.06869048394932,2013-05-01
BTC,231841,11046025.0,52.60011905545707,2013-06-01
BTC,236161,11154025.0,53.11440476981942,2013-07-01
BTC,240625,11265625.0,53.64583334132719,2013-08-01
BTC,245089,11377225.0,54.17726191283495,2013-09-01
BTC,249409,11485225.0,54.69154762719729,2013-10-01
BTC,253873,11596825.0,55.222976198705055,2013-11-01
BTC,258193,11704825.0,55.73726191306741,2013-12-01
BTC,262657,11816425.0,56.26869048457517,2014-01-01
BTC,267121,11928025.0,56.80011905608292,2014-02-01
BTC,271153,12028825.0,57.280119056154454,2014-03-01
BTC,275617,12140425.0,57.81154762766221,2014-04-01
BTC,279937,12248425.0,58.32583334202456,2014-05-01
BTC,284401,12360025.0,58.85726191353232,2014-06-01
BTC,288721,12468025.0,59.37154762789467,2014-07-01
BTC,293185,12579625.0,59.902976199402424,2014-08-01
BTC,297649,12691225.0,60.43440477091019,2014-09-01
BTC,301969,12799225.0,60.948690485272536,2014-10-01
BTC,306433,12910825.0,61.4801190567803,2014-11-01
BTC,310753,13018825.0,61.994404771142655,2014-12-01
BTC,315217,13130425.0,62.52583334265041,2015-01-01
BTC,319681,13242025.0,63.05726191415817,2015-02-01
BTC,323713,13342825.0,63.537261914229695,2015-03-01
BTC,328177,13454425.0,64.06869048573746,2015-04-01
BTC,332497,13562425.0,64.58297620009981,2015-05-01
BTC,336961,13674025.0,65.11440477160755,2015-06-01
BTC,341281,13782025.0,65.62869048596991,2015-07-01
