coin,block,total_supply,total_supply_pct,date
DASH,1,4500005.0,23.418300470367207,2014-07-01
DASH,7133,4535665.0,23.603877285231476,2014-08-01
DASH,24139,4620695.0,24.046378591117875,2014-09-01
DASH,40596,4702980.0,24.474594749589738,2014-10-01
DASH,57601,4788005.0,24.91707003517119,2014-11-01
DASH,74059,4870295.0,25.345312213947995,2014-12-01
DASH,91064,4955320.0,25.78778749952945,2015-01-01
DASH,108070,5040350.0,26.230288805415853,2015-02-01
DASH,123430,5117150.0,26.62996068936358,2015-03-01
DASH,140436,5202180.0,27.07246199524998,2015-04-01
DASH,156893,5284465.0,27.500678153721836,2015-05-01
DASH,173899,5369495.0,27.943179459608235,2015-06-01
DASH,190356,5451780.0,28.371395618080097,2015-07-01
DASH,207361,5536805.0,28.813870903661552,2015-08-01
DASH,224367,5616789.642855263,29.230115863255946,2015-09-01
DASH,240824,5693197.142853074,29.627745153254136,2015-10-01
DASH,257830,5772153.57142224,30.038639222994018,2015-11-01
DASH,274287,5848561.07142005,30.43626851299221,2015-12-01
DASH,291293,5927517.499989216,30.84716258273209,2016-01-01
DASH,308299,6006473.928558382,31.25805665247197,2016-02-01
DASH,324207,6080332.499984837,31.642421162728468,2016-03-01
DASH,341213,6159288.928554003,32.05331523246835,2016-04-01
DASH,357670,6235696.428551814,32.45094452246654,2016-05-01
DASH,374676,6314652.85712098,32.861838592206425,2016-06-01
DASH,391133,6391060.35711879,33.25946788220461,2016-07-01
DASH,408139,6470016.785687956,33.67036195194449,2016-08-01
DASH,425144,6547421.836705215,34.07318255828744,2016-09-01
DASH,441601,6618371.658128469,34.442409756125805,2016-10-01
DASH,458607,6691688.341796444,34.82395424943804,2016-11-01
DASH,475064,6762638.163219698,35.19318144727641,2016-12-01
DASH,492070,6835954.846887672,35.574725940588635,2017-01-01
DASH,509076,6909271.530555647,35.95627043390086,2017-02-01
DASH,524436,6975491.938713949,36.3008854766667,2017-03-01
DASH,541441,7048804.311157434,36.68240753410375,2017-04-01
DASH,557899,7119758.443805178,37.0516571678173,2017-05-01
DASH,574904,7193070.816248663,37.43317922525435,2017-06-01
DASH,591361,7264020.637671917,37.80240642309272,2017-07-01
DASH,608367,7337337.321339891,38.183950916404946,2017-08-01
DASH,625373,7410654.005007866,38.56549540971717,2017-09-01
DASH,641830,7478182.561857812,38.91691813805688,2017-10-01
DASH,658836,7546262.339555159,39.27120945330481,2017-11-01
DASH,675293,7612144.316596512,39.6140632798975,2017-12-01
DASH,692299,7680224.094293859,39.968354595145435,2018-01-01
DASH,709304,7748299.868711323,40.3226250770807,2018-02-01
DASH,724664,7809790.247720569,40.64262475967556,2018-03-01
DASH,741670,7877870.0254179165,40.9969160749235,2018-04-01
DASH,758127,7943752.002459269,41.339769901516185,2018-05-01
DASH,775133,8011831.780156616,41.69406121676412,2018-06-01
DASH,791590,8077713.757197969,42.03691504335681,2018-07-01
DASH,808596,8145793.534895316,42.39120635860474,2018-08-01
DASH,825601,8213869.309312779,42.74547684054,2018-09-01
DASH,842059,8279441.032162875,43.08671608539933,2018-10-01
DASH,859064,8342654.251260281,43.4156815328871,2018-11-01
DASH,875521,8403830.3727943,43.73404580041466,2018-12-01
DASH,892527,8467047.309223026,44.06303059312134,2019-01-01
DASH,909533,8530264.245651752,44.39201538582801,2019-02-01
DASH,924893,8587362.45472768,44.689157948216256,2019-03-01
DASH,941899,8650579.391156405,45.01814274092293,2019-04-01
