coin,block,total_supply,total_supply_pct,date
DOGE,0,500000,8.090811920257929e-05,2013-12-01
DOGE,42048,21024500000,3.4021055043492563,2014-01-01
DOGE,84096,42048500000,6.80413010057931,2014-02-01
DOGE,126144,56536250000,9.148483308533645,2014-03-01
DOGE,168192,67048250000,10.849495606648674,2014-04-01
DOGE,210240,76280125000,12.343362892575296,2014-05-01
DOGE,257544,82193125000,13.300182310264999,2014-06-01
DOGE,299592,87449125000,14.150688459322513,2014-07-01
DOGE,346896,90431062500,14.633214368731796,2014-08-01
DOGE,388944,93059062500,15.05846744326055,2014-09-01
DOGE,430992,94718531250,15.326996434136461,2014-10-01
DOGE,478296,96196781250,15.566201288558887,2014-11-01
DOGE,520344,97192890625,15.7273879606615,2014-12-01
DOGE,567648,97932015625,15.846990387872713,2015-01-01
DOGE,609696,98534470000,15.944477288645945,2015-02-01
DOGE,651744,98954950000,16.012517780570544,2015-03-01
DOGE,693792,99375430000,16.080558272495146,2015-04-01
DOGE,735840,99795910000,16.14859876441975,2015-05-01
DOGE,783144,100268950000,16.225144317834925,2015-06-01
DOGE,825192,100689430000,16.293184809759527,2015-07-01
DOGE,872496,101162470000,16.369730363174703,2015-08-01
DOGE,914544,101582950000,16.437770855099306,2015-09-01
DOGE,956592,102003430000,16.505811347023904,2015-10-01
DOGE,1003896,102476470000,16.58235690043908,2015-11-01
DOGE,1045944,102896950000,16.65039739236368,2015-12-01
DOGE,1093248,103369990000,16.72694294577886,2016-01-01
DOGE,1135296,103790470000,16.794983437703458,2016-02-01
DOGE,1177344,104210950000,16.86302392962806,2016-03-01
DOGE,1224648,104683990000,16.939569483043236,2016-04-01
DOGE,1266696,105104470000,17.00760997496784,2016-05-01
DOGE,1308744,105524950000,17.07565046689244,2016-06-01
DOGE,1350792,105945430000,17.14369095881704,2016-07-01
DOGE,1398096,106418470000,17.220236512232216,2016-08-01
DOGE,1440144,106838950000,17.288277004156814,2016-09-01
DOGE,1487448,107311990000,17.364822557571994,2016-10-01
DOGE,1529496,107732470000,17.432863049496593,2016-11-01
DOGE,1571544,108152950000,17.500903541421195,2016-12-01
DOGE,1618848,108625990000,17.57744909483637,2017-01-01
DOGE,1660896,109046470000,17.645489586760974,2017-02-01
DOGE,1702944,109466950000,17.713530078685576,2017-03-01
DOGE,1750248,109939990000,17.79007563210075,2017-04-01
DOGE,1792296,110360470000,17.85811612402535,2017-05-01
DOGE,1834344,110780950000,17.92615661594995,2017-06-01
DOGE,1876392,111201430000,17.99419710787455,2017-07-01
DOGE,1923696,111674470000,18.070742661289728,2017-08-01
DOGE,1965744,112094950000,18.13878315321433,2017-09-01
DOGE,2013048,112567990000,18.215328706629506,2017-10-01
DOGE,2055096,112988470000,18.283369198554105,2017-11-01
DOGE,2097144,113408950000,18.35140969047871,2017-12-01
DOGE,2144448,113881990000,18.427955243893884,2018-01-01
DOGE,2186496,114302470000,18.495995735818486,2018-02-01
DOGE,2228544,114722950000,18.564036227743085,2018-03-01
DOGE,2275848,115195990000,18.640581781158264,2018-04-01
DOGE,2317896,115616470000,18.708622273082863,2018-05-01
DOGE,2359944,116036950000,18.776662765007465,2018-06-01
DOGE,2401992,116457430000,18.844703256932068,2018-07-01
DOGE,2449296,116930470000,18.92124881034724,2018-08-01
DOGE,2491344,117350950000,18.989289302271846,2018-09-01
DOGE,2538648,117823990000,19.06583485568702,2018-10-01
DOGE,2580696,118244470000,19.13387534761162,2018-11-01
DOGE,2622744,118664950000,19.20191583953622,2018-12-01
DOGE,2670048,119137990000,19.2784613929514,2019-01-01
DOGE,2712096,119558470000,19.346501884875998,2019-02-01
DOGE,2754144,119978950000,19.4145423768006,2019-03-01
DOGE,2801448,120451990000,19.491087930215777,2019-04-01
DOGE,2843496,120872470000,19.559128422140375,2019-05-01
DOGE,2885544,121292950000,19.62716891406498,2019-06-01
DOGE,2927592,121713430000,19.69520940598958,2019-07-01
DOGE,2974896,122186470000,19.771754959404756,2019-08-01
DOGE,3016944,122606950000,19.839795451329355,2019-09-01
DOGE,3064248,123079990000,19.916341004744535,2019-10-01
DOGE,3106296,123500470000,19.984381496669133,2019-11-01
DOGE,3148344,123920950000,20.052421988593736,2019-12-01
