coin,block,total_supply,total_supply_pct,date
DOGE,0,500000,8.090811920257929e-05,2013-12-01
DOGE,5256,2628500000,0.4253339826479593,2013-12-01
DOGE,15768,7884500000,1.2758401317054726,2013-12-01
DOGE,26280,13140500000,2.126346280762986,2013-12-01
DOGE,36792,18396500000,2.9768524298204997,2013-12-01
DOGE,47304,23652500000,3.827358578878013,2014-01-01
DOGE,57816,28908500000,4.6778647279355265,2014-01-01
DOGE,68328,34164500000,5.52837087699304,2014-01-01
DOGE,78840,39420500000,6.378877026050553,2014-01-01
DOGE,89352,44676500000,7.229383175108067,2014-02-01
DOGE,99864,49932500000,8.079889324165581,2014-02-01
DOGE,105120,51280250000,8.297977159476133,2014-02-01
DOGE,115632,53908250000,8.72323023400489,2014-02-01
DOGE,126144,56536250000,9.148483308533645,2014-03-01
DOGE,136656,59164250000,9.573736383062403,2014-03-01
DOGE,147168,61792250000,9.99898945759116,2014-03-01
DOGE,157680,64420250000,10.424242532119916,2014-03-01
DOGE,168192,67048250000,10.849495606648674,2014-04-01
DOGE,178704,69676250000,11.27474868117743,2014-04-01
DOGE,189216,72304250000,11.700001755706186,2014-04-01
DOGE,199728,74932250000,12.125254830234944,2014-04-01
DOGE,210240,76280125000,12.343362892575296,2014-05-01
DOGE,220752,77594125000,12.555989429839675,2014-05-01
DOGE,231264,78908125000,12.768615967104052,2014-05-01
DOGE,236520,79565125000,12.874929235736243,2014-05-01
DOGE,247032,80879125000,13.08755577300062,2014-05-01
DOGE,257544,82193125000,13.300182310264999,2014-06-01
DOGE,268056,83507125000,13.512808847529378,2014-06-01
DOGE,278568,84821125000,13.725435384793755,2014-06-01
DOGE,289080,86135125000,13.938061922058134,2014-06-01
DOGE,299592,87449125000,14.150688459322513,2014-07-01
DOGE,310104,88131562500,14.261117928519132,2014-07-01
DOGE,320616,88788562500,14.367431197151323,2014-07-01
DOGE,331128,89445562500,14.473744465783511,2014-07-01
DOGE,341640,90102562500,14.5800577344157,2014-07-01
DOGE,352152,90759562500,14.68637100304789,2014-08-01
DOGE,357408,91088062500,14.739527637363983,2014-08-01
DOGE,367920,91745062500,14.845840905996175,2014-08-01
DOGE,378432,92402062500,14.952154174628362,2014-08-01
DOGE,388944,93059062500,15.05846744326055,2014-09-01
DOGE,399456,93716062500,15.164780711892742,2014-09-01
DOGE,409968,94061531250,15.220683165504273,2014-09-01
DOGE,420480,94390031250,15.273839799820369,2014-09-01
DOGE,430992,94718531250,15.326996434136461,2014-10-01
DOGE,441504,95047031250,15.380153068452557,2014-10-01
DOGE,452016,95375531250,15.433309702768652,2014-10-01
DOGE,462528,95704031250,15.486466337084744,2014-10-01
DOGE,473040,96032531250,15.53962297140084,2014-10-01
DOGE,478296,96196781250,15.566201288558887,2014-11-01
DOGE,488808,96525281250,15.619357922874983,2014-11-01
DOGE,499320,96853781250,15.672514557191079,2014-11-01
DOGE,509832,97028640625,15.700809643503455,2014-11-01
DOGE,520344,97192890625,15.7273879606615,2014-12-01
DOGE,530856,97357140625,15.753966277819547,2014-12-01
DOGE,541368,97521390625,15.780544594977597,2014-12-01
DOGE,551880,97685640625,15.807122912135643,2014-12-01
DOGE,562392,97849890625,15.83370122929369,2014-12-01
DOGE,572904,98014140625,15.86027954645174,2015-01-01
DOGE,583416,98178390625,15.886857863609785,2015-01-01
DOGE,593928,98342640625,15.913436180767832,2015-01-01
DOGE,599184,98424765625,15.926725339346856,2015-01-01
DOGE,609696,98534470000,15.944477288645945,2015-02-01
DOGE,620208,98639590000,15.961487411627095,2015-02-01
DOGE,630720,98744710000,15.978497534608247,2015-02-01
DOGE,641232,98849830000,15.995507657589398,2015-02-01
