coin,total_supply,total_supply_pct,date
EOS,900000000.0,89.99999999999913,2017-07-01
EOS,905192307.6923082,90.51923076922995,2018-01-01
EOS,915192307.6923091,91.51923076923005,2019-01-01
EOS,925192307.6923101,92.51923076923013,2020-01-01
EOS,935192307.692311,93.5192307692302,2021-01-01
EOS,945192307.692312,94.5192307692303,2022-01-01
EOS,955192307.692313,95.51923076923039,2023-01-01
EOS,965384615.3846216,96.53846153846123,2024-01-01
EOS,975384615.3846226,97.53846153846133,2025-01-01
EOS,985384615.3846235,98.5384615384614,2026-01-01
EOS,995384615.3846245,99.5384615384615,2027-01-01
EOS,1000000000.0000095,100.0,2028-01-01
EOS,1000000000.0000095,100.0,2029-01-01
EOS,1000000000.0000095,100.0,2030-01-01
EOS,1000000000.0000095,100.0,2031-01-01
EOS,1000000000.0000095,100.0,2032-01-01
EOS,1000000000.0000095,100.0,2033-01-01
EOS,1000000000.0000095,100.0,2034-01-01
EOS,1000000000.0000095,100.0,2035-01-01
EOS,1000000000.0000095,100.0,2036-01-01
EOS,1000000000.0000095,100.0,2037-01-01
EOS,1000000000.0000095,100.0,2038-01-01
EOS,1000000000.0000095,100.0,2039-01-01
EOS,1000000000.0000095,100.0,2040-01-01
