coin,block,etc,eth,etc_pct,eth_pct,date
ETC,1,72000007.42,72000007.42,33.530033686481374,10.561781030200004,2015-07-01
ETC,20001,72148407.42003576,72148407.42003576,33.59914280436308,10.583550032196303,2015-08-01
ETC,200001,73484007.42035763,73484007.42035763,34.2211248652985,10.779471050162979,2015-09-01
ETC,370001,74745407.42066161,74745407.42066161,34.80855236729305,10.964507567131504,2015-10-01
ETC,550001,76081007.42098348,76081007.42098348,35.43053442822847,11.16042858509818,2015-11-01
ETC,720001,77342407.42128746,77342407.42128746,36.017961930223024,11.345465102066706,2015-12-01
ETC,900001,78678007.42160933,78678007.42160933,36.63994399115844,11.541386120033383,2016-01-01
ETC,1080001,80013607.42193119,80013607.42193119,37.261926052093855,11.737307138000059,2016-02-01
ETC,1240001,81200807.4222173,81200807.4222173,37.814798995147555,11.911459153970435,2016-03-01
ETC,1420001,82536407.42253916,82536407.42253916,38.43678105608297,12.10738017193711,2016-04-01
ETC,1590001,83797807.42284314,83797807.42284314,39.024208558077525,12.29241668890564,2016-05-01
ETC,1770001,85133407.42316501,85133407.42316501,39.64619061901294,12.488337706872315,2016-06-01
ETC,1950001,86469007.42348687,86469007.42348687,40.26817267994836,12.68425872483899,2016-07-01
ETC,2120001,87730407.42379086,87730407.42379086,40.85560018194291,12.869295241807515,2016-08-01
ETC,2300001,89066007.42411272,89066007.42411272,41.47758224287833,13.065216259774193,2016-09-01
ETC,2480001,90401607.42443459,90401607.42443459,42.099564303813736,13.261137277740866,2016-10-01
ETC,2650001,91663007.42473857,91663007.42473857,42.6869918058083,13.446173794709395,2016-11-01
ETC,2830001,92684002.58482797,92684002.58482797,43.1624640083573,13.595944991965728,2016-12-01
ETC,3010001,93584002.58482797,93584002.58482797,43.58158938624512,13.727967241237602,2017-01-01
ETC,3180001,94434002.58482797,94434002.58482797,43.97743002091695,13.852654921105485,2017-02-01
ETC,3350001,95284002.58482797,95284002.58482797,44.373270655588776,13.977342600973364,2017-03-01
ETC,3520001,96134002.58482797,96134002.58482797,44.769111290260604,14.102030280841243,2017-04-01
ETC,3700001,97034000.58482797,97034000.58482797,45.18823573675869,14.23405223673034,2017-05-01
ETC,3880001,97754000.58482797,97754000.58482797,45.523536039068944,14.339670036147842,2017-06-01
ETC,4050001,98434000.58482797,98434000.58482797,45.84020854680641,14.439420180042145,2017-07-01
ETC,4230001,99154000.58482797,99154000.58482797,46.17550884911667,14.545037979459643,2017-08-01
ETC,4410001,99874000.58482797,99874000.58482797,46.51080915142692,14.650655778877145,2017-09-01
ETC,4580001,100554000.58482797,100554000.58482797,46.827481659164384,14.750405922771447,2017-10-01
ETC,4760001,101274000.58482797,101274000.58482797,47.162781961474636,14.856023722188946,2017-11-01
ETC,4930001,101954000.58482797,101954000.58482797,47.4794544692121,14.955773866083252,2017-12-01
ETC,5110001,102729001.58482797,102563998.58482797,47.84036845475481,15.04525531942919,2018-01-01
ETC,5290001,103539001.58482797,103103998.58482797,48.217581294853844,15.124468668992314,2018-02-01
ETC,5450001,104259001.58482797,103583998.58482797,48.5528815971641,15.194880535270647,2018-03-01
ETC,5630001,105069001.58482797,104123998.58482797,48.930094437263136,15.274093884833773,2018-04-01
ETC,5800001,105834001.58482797,104633998.58482797,49.28635100846778,15.3489064927545,2018-05-01
ETC,5980001,106644001.58482797,105173998.58482797,49.663563848566824,15.428119842317626,2018-06-01
ETC,6150001,107409001.58482797,105683998.58482797,50.01982041977146,15.502932450238353,2018-07-01
ETC,6330001,108219001.58482797,106223998.58482797,50.397033259870504,15.582145799801477,2018-08-01
ETC,6510001,109029001.58482797,106763998.58482797,50.774246099969545,15.661359149364602,2018-09-01
ETC,6680001,109794001.58482797,107273998.58482797,51.130502671174185,15.73617175728533,2018-10-01
ETC,6860001,110604001.58482797,107813998.58482797,51.50771551127322,15.815385106848453,2018-11-01
ETC,7030001,111369001.58482797,108293996.58482797,51.86397208247787,15.88579667974401,2018-12-01
ETC,7210001,112179001.58482797,108653996.58482797,52.2411849225769,15.93860557945276,2019-01-01
ETC,7390001,112989001.58482797,109013996.58482797,52.61839776267594,15.99141447916151,2019-02-01
ETC,7550001,113709001.58482797,109333996.58482797,52.9536980649862,16.038355723347063,2019-03-01
ETC,7730001,114519001.58482797,109693996.58482797,53.330910905085226,16.091164623055814,2019-04-01
ETC,7900001,115284001.58482797,110033996.58482797,53.68716747628988,16.141039695002966,2019-05-01
ETC,8080001,116094001.58482797,110296932.27795722,54.06438031638891,16.179610096803835,2019-06-01
ETC,8250001,116859001.58482797,110430792.53939004,54.42063688759355,16.19924624436215,2019-07-01
ETC,8430001,117669001.58482797,110572704.01117112,54.79784972769259,16.22006343514217,2019-08-01
ETC,8610001,118479001.58482797,110714797.84935002,55.175062567791635,16.24090737750223,2019-09-01
ETC,8780001,119244001.58482797,110849165.24723236,55.53131913899628,16.260617917610272,2019-10-01
ETC,8960001,120054001.58482797,110991614.35788563,55.90853197909531,16.28151397538274,2019-11-01
ETC,9130001,120819001.58482797,111126317.71008237,56.26478855029996,16.30127379709549,2019-12-01
ETC,9310001,121629001.58482797,111269122.98148583,56.642001390399,16.322222100582785,2020-01-01
ETC,9490001,122439001.58482797,111412111.76788317,57.01921423049804,16.343197324139265,2020-02-01
ETC,9660001,123204001.58482797,111547325.45062305,57.375470801702676,16.363032006947765,2020-03-01
ETC,9840001,124014001.58482797,111690671.74710383,57.75268364180172,16.38405967415464,2020-04-01
ETC,10010001,124769999.78476836,111826223.50009404,58.10474812094897,16.40394394895743,2020-05-01
ETC,10190001,125417999.78369547,111969928.20052913,58.40651839252856,16.425024190937854,2020-06-01
ETC,10360001,126029999.7826822,112105818.86903685,58.6915236490204,16.444958181728353,2020-07-01
ETC,10540001,126677999.78160931,112249882.86953086,58.99329392059999,16.466091129933154,2020-08-01
ETC,10720001,127325999.78053643,112394132.00257598,59.29506419217958,16.487251235488863,2020-09-01
ETC,10890001,127937999.77952315,112530537.49983409,59.58006944867142,16.507260747223377,2020-10-01
ETC,11070001,128585999.77845027,112675147.29416467,59.881839720251016,16.528473758683674,2020-11-01
ETC,11240001,129197999.77743699,112811893.84152807,60.16684497674285,16.548533299531538,2020-12-01
ETC,11420001,129845999.7763641,112956865.19889434,60.46861524832244,16.56979934917542,2021-01-01
ETC,11600001,130493999.77529122,113102022.85483074,60.770385519902035,16.59109272721515,2021-02-01
ETC,11760001,131069999.77433755,113231208.47466162,61.03862576130612,16.610043145108097,2021-03-01
ETC,11940001,131717999.77326466,113376718.68134087,61.340396032885714,16.631388239305664,2021-04-01
ETC,12110001,132329999.77225138,113514316.68057503,61.62540128937755,16.651572680810332,2021-05-01
ETC,12290001,132977999.7711785,113660190.70156063,61.92717156095714,16.6729711434335,2021-06-01
ETC,12460001,133589999.77016522,113798132.7324731,62.212176817448984,16.693206051422607,2021-07-01
ETC,12640001,134237999.76909235,113944371.47739843,62.513947089028576,16.714658015906757,2021-08-01
ETC,12820001,134885999.76801947,114090798.14957668,62.81571736060817,16.7361375477005,2021-09-01
ETC,12990001,135497999.7670062,114229262.78093089,63.10072261710001,16.756449116673817,2021-10-01
ETC,13170001,136145999.7659333,114376055.55882399,63.4024928886796,16.777982353023056,2021-11-01
ETC,13350001,136793999.76486042,114523036.9759418,63.7042631602592,16.799543261122015,2021-12-01
ETC,13520001,137405999.76384714,114662026.18763638,63.98926841675103,16.819931781513613,2022-01-01
ETC,13700001,138053999.76277426,114809375.09747848,64.29103868833063,16.841546597630405,2022-02-01
ETC,13860001,138629999.76182058,114940510.8624274,64.5592789297347,16.860783085017676,2022-03-01
ETC,14040001,139277999.7607477,115088217.64500809,64.8610492013143,16.88245039798325,2022-04-01
ETC,14210001,139889999.75973442,115227892.77997021,65.14605445780613,16.902939537411086,2022-05-01
ETC,14390001,140537999.75866154,115375968.868882,65.44782472938573,16.924661024434993,2022-06-01
ETC,14570001,141185999.75758865,115524235.24616574,65.74959500096533,16.946410425124313,2022-07-01
ETC,14740001,141797999.75657538,115664439.54752335,66.03460025745717,16.96697718870523,2022-08-01
ETC,14920001,142445999.7555025,115813076.63027418,66.33637052903676,16.98878096869409,2022-09-01
ETC,15100001,143021998.31454882,115961904.72231412,66.60461009984023,17.010612768100707,2022-10-01
ETC,15270001,143511598.3137382,116102640.19484086,66.83261430503372,17.031257449917728,2022-11-01
ETC,15450001,144029998.3128799,116251840.39678511,67.07403052229738,17.053143834642725,2022-12-01
ETC,15630001,144548398.31202158,116401232.33166681,67.31544673956105,17.07505834493846,2023-01-01
ETC,15800001,145037998.31121096,116542500.98773213,67.54345094475453,17.095781240188856,2023-02-01
ETC,15970001,145527598.31040034,116683941.09243959,67.771455149948,17.116529285478556,2023-03-01
ETC,16140001,146017198.3095897,116825552.85386483,67.99945935514147,17.137302511330457,2023-04-01
ETC,16320001,146535598.3087314,116975682.05031356,68.24087557240513,17.159325171548836,2023-05-01
ETC,16500001,147053998.3078731,117126004.17351963,68.48229178966882,17.181376132461047,2023-06-01
ETC,16670001,147543598.30706248,117268152.43834876,68.71029599486228,17.202228058741973,2023-07-01
ETC,16850001,148061998.30620417,117418850.40693972,68.95171221212595,17.2243341529354,2023-08-01
ETC,17030001,148580398.30534586,117569742.03320575,69.19312842938963,17.246468655041987,2023-09-01
ETC,17200001,149069998.30453524,117712428.8340094,69.4211326345831,17.26739957991255,2023-10-01
ETC,17380001,149588398.30367693,117863697.72956519,69.66254885184678,17.289589424174938,2023-11-01
ETC,17550001,150077998.3028663,118006741.28540769,69.89055305704025,17.31057268193735,2023-12-01
ETC,17730001,150596398.302008,118158388.39352712,70.13196927430391,17.332818006725688,2024-01-01
ETC,17910001,151114798.3011497,118310230.37903343,70.3733854915676,17.35509191834841,2024-02-01
ETC,18070001,151575598.30038676,118445364.83603182,70.58797768469086,17.374914979422922,2024-03-01
ETC,18250001,152093998.29952845,118597575.60680576,70.82939390195455,17.397242988668456,2024-04-01
ETC,18430001,152612398.29867014,118749981.97931294,71.07081011921821,17.41959969100375,2024-05-01
ETC,18600001,153101998.29785952,118894101.16109471,71.29881432441168,17.440740733828253,2024-06-01
ETC,18780001,153620398.2970012,119046888.59016089,71.54023054167536,17.463153333879124,2024-07-01
ETC,18960001,154138798.2961429,119199872.36200848,71.78164675893903,17.48559473572514,2024-08-01
ETC,19130001,154628398.29533228,119344537.54668394,72.0096509641325,17.50681587247201,2024-09-01
ETC,19310001,155146798.29447398,119497903.81874302,72.25106718139618,17.529313383804993,2024-10-01
