coin,block,etc,eth,etc_pct,eth_pct,date
ETC,1,72000007.42,72000007.42,33.530033686481374,10.561781030200004,2015-07-01
ETC,30001,72222607.42005365,72222607.42005365,33.633697363303945,10.59443453319445,2015-08-01
ETC,70001,72519407.42012517,72519407.42012517,33.77191559906736,10.637972537187045,2015-08-01
ETC,110001,72816207.4201967,72816207.4201967,33.91013383483079,10.68151054117964,2015-08-01
ETC,150001,73113007.42026822,73113007.42026822,34.04835207059422,10.725048545172235,2015-08-01
ETC,190001,73409807.42033975,73409807.42033975,34.186570306357645,10.768586549164828,2015-08-01
ETC,230001,73706607.42041127,73706607.42041127,34.32478854212106,10.812124553157423,2015-09-01
ETC,270001,74003407.4204828,74003407.4204828,34.463006777884495,10.85566255715002,2015-09-01
ETC,310001,74300207.42055432,74300207.42055432,34.60122501364792,10.899200561142612,2015-09-01
ETC,350001,74597007.42062585,74597007.42062585,34.739443249411345,10.942738565135206,2015-09-01
ETC,390001,74893807.42069738,74893807.42069738,34.87766148517477,10.986276569127803,2015-10-01
ETC,430001,75190607.4207689,75190607.4207689,35.015879720938194,11.029814573120396,2015-10-01
ETC,470001,75487407.42084043,75487407.42084043,35.15409795670162,11.07335257711299,2015-10-01
ETC,510001,75784207.42091195,75784207.42091195,35.292316192465044,11.116890581105586,2015-10-01
ETC,550001,76081007.42098348,76081007.42098348,35.43053442822847,11.16042858509818,2015-11-01
ETC,590001,76377807.421055,76377807.421055,35.568752663991894,11.203966589090776,2015-11-01
ETC,630001,76674607.42112653,76674607.42112653,35.70697089975532,11.24750459308337,2015-11-01
ETC,670001,76971407.42119806,76971407.42119806,35.845189135518744,11.291042597075963,2015-11-01
ETC,710001,77268207.42126958,77268207.42126958,35.98340737128217,11.33458060106856,2015-11-01
ETC,750001,77565007.4213411,77565007.4213411,36.121625607045594,11.378118605061152,2015-12-01
ETC,790001,77861807.42141263,77861807.42141263,36.25984384280902,11.421656609053747,2015-12-01
ETC,830001,78158607.42148416,78158607.42148416,36.398062078572444,11.465194613046343,2015-12-01
ETC,870001,78455407.42155568,78455407.42155568,36.536280314335876,11.508732617038936,2015-12-01
ETC,920001,78826407.42164509,78826407.42164509,36.70905310904015,11.563155122029679,2016-01-01
ETC,960001,79123207.42171662,79123207.42171662,36.84727134480358,11.606693126022275,2016-01-01
ETC,1000001,79420007.42178814,79420007.42178814,36.985489580567005,11.65023113001487,2016-01-01
ETC,1040001,79716807.42185967,79716807.42185967,37.12370781633043,11.693769134007463,2016-01-01
ETC,1080001,80013607.42193119,80013607.42193119,37.261926052093855,11.737307138000059,2016-02-01
ETC,1120001,80310407.42200272,80310407.42200272,37.40014428785728,11.780845141992653,2016-02-01
ETC,1160001,80607207.42207424,80607207.42207424,37.538362523620705,11.824383145985246,2016-02-01
ETC,1200001,80904007.42214577,80904007.42214577,37.67658075938413,11.867921149977843,2016-02-01
ETC,1240001,81200807.4222173,81200807.4222173,37.814798995147555,11.911459153970435,2016-03-01
ETC,1280001,81497607.42228882,81497607.42228882,37.95301723091098,11.95499715796303,2016-03-01
ETC,1320001,81794407.42236035,81794407.42236035,38.091235466674405,11.998535161955626,2016-03-01
ETC,1360001,82091207.42243187,82091207.42243187,38.22945370243783,12.042073165948219,2016-03-01
ETC,1400001,82388007.4225034,82388007.4225034,38.367671938201255,12.085611169940815,2016-03-01
ETC,1440001,82684807.42257492,82684807.42257492,38.50589017396468,12.12914917393341,2016-04-01
ETC,1480001,82981607.42264645,82981607.42264645,38.644108409728105,12.172687177926003,2016-04-01
ETC,1520001,83278407.42271797,83278407.42271797,38.78232664549153,12.216225181918599,2016-04-01
ETC,1560001,83575207.4227895,83575207.4227895,38.92054488125496,12.259763185911194,2016-04-01
ETC,1600001,83872007.42286102,83872007.42286102,39.05876311701838,12.303301189903786,2016-05-01
ETC,1640001,84168807.42293255,84168807.42293255,39.196981352781805,12.346839193896383,2016-05-01
ETC,1680001,84465607.42300408,84465607.42300408,39.33519958854524,12.390377197888977,2016-05-01
ETC,1720001,84762407.4230756,84762407.4230756,39.47341782430866,12.43391520188157,2016-05-01
ETC,1760001,85059207.42314713,85059207.42314713,39.61163606007208,12.477453205874166,2016-05-01
ETC,1800001,85356007.42321865,85356007.42321865,39.749854295835505,12.52099120986676,2016-06-01
ETC,1840001,85652807.42329018,85652807.42329018,39.88807253159894,12.564529213859355,2016-06-01
ETC,1880001,85949607.4233617,85949607.4233617,40.02629076736236,12.608067217851948,2016-06-01
ETC,1920001,86246407.42343323,86246407.42343323,40.16450900312578,12.651605221844545,2016-06-01
ETC,1960001,86543207.42350475,86543207.42350475,40.302727238889204,12.695143225837139,2016-07-01
ETC,2000001,86840007.42357628,86840007.42357628,40.44094547465264,12.738681229829732,2016-07-01
ETC,2040001,87136807.4236478,87136807.4236478,40.57916371041606,12.782219233822328,2016-07-01
ETC,2080001,87433607.42371933,87433607.42371933,40.717381946179486,12.825757237814923,2016-07-01
ETC,2120001,87730407.42379086,87730407.42379086,40.85560018194291,12.869295241807515,2016-08-01
ETC,2160001,88027207.42386238,88027207.42386238,40.993818417706336,12.912833245800112,2016-08-01
ETC,2210001,88398207.42395179,88398207.42395179,41.16659121241062,12.967255750790855,2016-08-01
ETC,2250001,88695007.42402332,88695007.42402332,41.30480944817404,13.010793754783448,2016-08-01
ETC,2290001,88991807.42409484,88991807.42409484,41.443027683937466,13.054331758776044,2016-08-01
ETC,2330001,89288607.42416637,89288607.42416637,41.58124591970089,13.097869762768639,2016-09-01
ETC,2370001,89585407.42423789,89585407.42423789,41.71946415546432,13.141407766761231,2016-09-01
ETC,2410001,89882207.42430942,89882207.42430942,41.85768239122774,13.184945770753828,2016-09-01
ETC,2450001,90179007.42438094,90179007.42438094,41.995900626991165,13.228483774746422,2016-09-01
ETC,2490001,90475807.42445247,90475807.42445247,42.13411886275459,13.272021778739015,2016-10-01
ETC,2530001,90772607.424524,90772607.424524,42.27233709851802,13.315559782731611,2016-10-01
ETC,2570001,91069407.42459552,91069407.42459552,42.41055533428144,13.359097786724206,2016-10-01
ETC,2610001,91366207.42466705,91366207.42466705,42.548773570044865,13.402635790716799,2016-10-01
ETC,2650001,91663007.42473857,91663007.42473857,42.6869918058083,13.446173794709395,2016-11-01
ETC,2690001,91959807.4248101,91959807.4248101,42.82521004157172,13.48971179870199,2016-11-01
ETC,2730001,92184002.58482797,92184002.58482797,42.9296165761974,13.522599297925797,2016-11-01
ETC,2770001,92384002.58482797,92384002.58482797,43.02275554906136,13.55193757554177,2016-11-01
ETC,2810001,92584002.58482797,92584002.58482797,43.11589452192532,13.581275853157743,2016-11-01
ETC,2850001,92784002.58482797,92784002.58482797,43.20903349478928,13.610614130773715,2016-12-01
ETC,2890001,92984002.58482797,92984002.58482797,43.302172467653236,13.639952408389686,2016-12-01
ETC,2930001,93184002.58482797,93184002.58482797,43.3953114405172,13.669290686005658,2016-12-01
ETC,2970001,93384002.58482797,93384002.58482797,43.48845041338116,13.698628963621632,2016-12-01
ETC,3010001,93584002.58482797,93584002.58482797,43.58158938624512,13.727967241237602,2017-01-01
ETC,3050001,93784002.58482797,93784002.58482797,43.674728359109075,13.757305518853574,2017-01-01
ETC,3090001,93984002.58482797,93984002.58482797,43.76786733197304,13.786643796469548,2017-01-01
ETC,3130001,94184002.58482797,94184002.58482797,43.861006304837,13.815982074085516,2017-01-01
ETC,3170001,94384002.58482797,94384002.58482797,43.95414527770096,13.84532035170149,2017-01-01
ETC,3210001,94584002.58482797,94584002.58482797,44.047284250564914,13.874658629317462,2017-02-01
ETC,3250001,94784002.58482797,94784002.58482797,44.140423223428876,13.903996906933433,2017-02-01
ETC,3290001,94984002.58482797,94984002.58482797,44.23356219629284,13.933335184549406,2017-02-01
ETC,3330001,95184002.58482797,95184002.58482797,44.3267011691568,13.962673462165379,2017-02-01
ETC,3370001,95384002.58482797,95384002.58482797,44.41984014202075,13.992011739781349,2017-03-01
ETC,3410001,95584002.58482797,95584002.58482797,44.512979114884715,14.021350017397321,2017-03-01
ETC,3460001,95834002.58482797,95834002.58482797,44.629402830964665,14.058022864417286,2017-03-01
ETC,3500001,96034002.58482797,96034002.58482797,44.722541803828626,14.087361142033258,2017-03-01
ETC,3540001,96234002.58482797,96234002.58482797,44.81568077669259,14.116699419649231,2017-04-01
ETC,3580001,96434002.58482797,96434002.58482797,44.90881974955654,14.146037697265202,2017-04-01
ETC,3620001,96634002.58482797,96634002.58482797,45.001958722420504,14.175375974881174,2017-04-01
ETC,3660001,96834002.58482797,96834002.58482797,45.095097695284466,14.204714252497148,2017-04-01
ETC,3700001,97034000.58482797,97034000.58482797,45.18823573675869,14.23405223673034,2017-05-01
ETC,3740001,97194000.58482797,97194000.58482797,45.26274691504986,14.257522858823119,2017-05-01
ETC,3780001,97354000.58482797,97354000.58482797,45.337258093341035,14.280993480915896,2017-05-01
ETC,3820001,97514000.58482797,97514000.58482797,45.411769271632195,14.304464103008673,2017-05-01
ETC,3860001,97674000.58482797,97674000.58482797,45.48628044992336,14.327934725101452,2017-05-01
ETC,3900001,97834000.58482797,97834000.58482797,45.56079162821453,14.351405347194229,2017-06-01
ETC,3940001,97994000.58482797,97994000.58482797,45.6353028065057,14.374875969287007,2017-06-01
ETC,3980001,98154000.58482797,98154000.58482797,45.70981398479687,14.398346591379784,2017-06-01
ETC,4020001,98314000.58482797,98314000.58482797,45.784325163088035,14.421817213472563,2017-06-01
ETC,4060001,98474000.58482797,98474000.58482797,45.8588363413792,14.44528783556534,2017-07-01
ETC,4100001,98634000.58482797,98634000.58482797,45.93334751967037,14.468758457658119,2017-07-01
ETC,4140001,98794000.58482797,98794000.58482797,46.00785869796154,14.492229079750896,2017-07-01
ETC,4180001,98954000.58482797,98954000.58482797,46.082369876252706,14.515699701843673,2017-07-01
ETC,4220001,99114000.58482797,99114000.58482797,46.156881054543874,14.539170323936451,2017-07-01
ETC,4260001,99274000.58482797,99274000.58482797,46.23139223283504,14.562640946029228,2017-08-01
ETC,4300001,99434000.58482797,99434000.58482797,46.30590341112621,14.586111568122007,2017-08-01
ETC,4340001,99594000.58482797,99594000.58482797,46.38041458941738,14.609582190214784,2017-08-01
ETC,4380001,99754000.58482797,99754000.58482797,46.454925767708545,14.633052812307563,2017-08-01
ETC,4420001,99914000.58482797,99914000.58482797,46.52943694599971,14.656523434400338,2017-09-01
ETC,4460001,100074000.58482797,100074000.58482797,46.60394812429088,14.679994056493115,2017-09-01
ETC,4500001,100234000.58482797,100234000.58482797,46.67845930258205,14.703464678585892,2017-09-01
ETC,4540001,100394000.58482797,100394000.58482797,46.752970480873216,14.72693530067867,2017-09-01
ETC,4580001,100554000.58482797,100554000.58482797,46.827481659164384,14.750405922771447,2017-10-01
ETC,4620001,100714000.58482797,100714000.58482797,46.90199283745555,14.773876544864226,2017-10-01
ETC,4660001,100874000.58482797,100874000.58482797,46.97650401574672,14.797347166957003,2017-10-01
ETC,4710001,101074000.58482797,101074000.58482797,47.069642988610674,14.826685444572977,2017-10-01
ETC,4750001,101234000.58482797,101234000.58482797,47.14415416690185,14.850156066665754,2017-10-01
ETC,4790001,101394000.58482797,101394000.58482797,47.21866534519302,14.873626688758531,2017-11-01
ETC,4830001,101554000.58482797,101554000.58482797,47.293176523484185,14.89709731085131,2017-11-01
ETC,4870001,101714000.58482797,101714000.58482797,47.36768770177535,14.920567932944087,2017-11-01
ETC,4910001,101874000.58482797,101874000.58482797,47.44219888006651,14.944038555036865,2017-11-01
ETC,4950001,102034000.58482797,102034000.58482797,47.51671005835769,14.96750917712964,2017-12-01
ETC,4990001,102194000.58482797,102194000.58482797,47.59122123664885,14.990979799222417,2017-12-01
ETC,5030001,102369001.58482797,102323998.58482797,47.67271830359968,15.010049386290024,2017-12-01
ETC,5070001,102549001.58482797,102443998.58482797,47.756543379177245,15.027652352859608,2017-12-01
ETC,5110001,102729001.58482797,102563998.58482797,47.84036845475481,15.04525531942919,2018-01-01
ETC,5150001,102909001.58482797,102683998.58482797,47.924193530332374,15.062858285998773,2018-01-01
ETC,5190001,103089001.58482797,102803998.58482797,48.00801860590994,15.080461252568355,2018-01-01
ETC,5230001,103269001.58482797,102923998.58482797,48.091843681487504,15.09806421913794,2018-01-01
ETC,5270001,103449001.58482797,103043998.58482797,48.17566875706507,15.115667185707524,2018-01-01
ETC,5310001,103629001.58482797,103163998.58482797,48.25949383264263,15.133270152277106,2018-02-01
ETC,5350001,103809001.58482797,103283998.58482797,48.34331890822019,15.15087311884669,2018-02-01
ETC,5390001,103989001.58482797,103403998.58482797,48.427143983797755,15.168476085416271,2018-02-01
ETC,5430001,104169001.58482797,103523998.58482797,48.51096905937532,15.186079051985857,2018-02-01
ETC,5470001,104349001.58482797,103643998.58482797,48.594794134952885,15.203682018555439,2018-03-01
ETC,5510001,104529001.58482797,103763998.58482797,48.67861921053044,15.221284985125022,2018-03-01
ETC,5550001,104709001.58482797,103883998.58482797,48.76244428610801,15.238887951694604,2018-03-01
ETC,5590001,104889001.58482797,104003998.58482797,48.84626936168557,15.25649091826419,2018-03-01
ETC,5630001,105069001.58482797,104123998.58482797,48.930094437263136,15.274093884833773,2018-04-01
ETC,5670001,105249001.58482797,104243998.58482797,49.0139195128407,15.291696851403355,2018-04-01
ETC,5710001,105429001.58482797,104363998.58482797,49.097744588418266,15.309299817972938,2018-04-01
ETC,5750001,105609001.58482797,104483998.58482797,49.18156966399583,15.32690278454252,2018-04-01
ETC,5790001,105789001.58482797,104603998.58482797,49.265394739573395,15.344505751112106,2018-04-01
ETC,5830001,105969001.58482797,104723998.58482797,49.34921981515096,15.36210871768169,2018-05-01
ETC,5870001,106149001.58482797,104843998.58482797,49.433044890728524,15.379711684251271,2018-05-01
ETC,5910001,106329001.58482797,104963998.58482797,49.51686996630608,15.397314650820853,2018-05-01
ETC,5960001,106554001.58482797,105113998.58482797,49.621651310778034,15.419318359032832,2018-05-01
ETC,6000001,106734001.58482797,105233998.58482797,49.7054763863556,15.436921325602416,2018-06-01
ETC,6040001,106914001.58482797,105353998.58482797,49.789301461933164,15.454524292172,2018-06-01
ETC,6080001,107094001.58482797,105473998.58482797,49.87312653751073,15.472127258741583,2018-06-01
ETC,6120001,107274001.58482797,105593998.58482797,49.95695161308829,15.489730225311165,2018-06-01
ETC,6160001,107454001.58482797,105713998.58482797,50.04077668866586,15.507333191880749,2018-07-01
ETC,6200001,107634001.58482797,105833998.58482797,50.124601764243415,15.52493615845033,2018-07-01
ETC,6240001,107814001.58482797,105953998.58482797,50.20842683982099,15.542539125019916,2018-07-01
ETC,6280001,107994001.58482797,106073998.58482797,50.292251915398545,15.5601420915895,2018-07-01
ETC,6320001,108174001.58482797,106193998.58482797,50.37607699097612,15.577745058159081,2018-07-01
ETC,6360001,108354001.58482797,106313998.58482797,50.459902066553674,15.595348024728665,2018-08-01
ETC,6400001,108534001.58482797,106433998.58482797,50.54372714213123,15.612950991298247,2018-08-01
ETC,6440001,108714001.58482797,106553998.58482797,50.6275522177088,15.630553957867832,2018-08-01
ETC,6480001,108894001.58482797,106673998.58482797,50.71137729328636,15.648156924437414,2018-08-01
ETC,6520001,109074001.58482797,106793998.58482797,50.79520236886393,15.665759891006998,2018-09-01
ETC,6560001,109254001.58482797,106913998.58482797,50.87902744444149,15.68336285757658,2018-09-01
ETC,6600001,109434001.58482797,107033998.58482797,50.962852520019055,15.700965824146163,2018-09-01
ETC,6640001,109614001.58482797,107153998.58482797,51.04667759559662,15.718568790715748,2018-09-01
ETC,6680001,109794001.58482797,107273998.58482797,51.130502671174185,15.73617175728533,2018-10-01
ETC,6720001,109974001.58482797,107393998.58482797,51.214327746751756,15.753774723854914,2018-10-01
ETC,6760001,110154001.58482797,107513998.58482797,51.298152822329314,15.771377690424496,2018-10-01
