coin,block,etc,eth,etc_pct,eth_pct,date
ETC,1,72000007.42,72000007.42,33.530033686481374,10.561781030200004,2015-07-01
ETC,900001,78678007.42160933,78678007.42160933,36.63994399115844,11.541386120033383,2016-01-01
ETC,3010001,93584002.58482797,93584002.58482797,43.58158938624512,13.727967241237602,2017-01-01
ETC,5110001,102729001.58482797,102563998.58482797,47.84036845475481,15.04525531942919,2018-01-01
ETC,7210001,112179001.58482797,108653996.58482797,52.2411849225769,15.93860557945276,2019-01-01
ETC,9310001,121629001.58482797,111269122.98148583,56.642001390399,16.322222100582785,2020-01-01
ETC,11420001,129845999.7763641,112956865.19889434,60.46861524832244,16.56979934917542,2021-01-01
ETC,13520001,137405999.76384714,114662026.18763638,63.98926841675103,16.819931781513613,2022-01-01
ETC,15630001,144548398.31202158,116401232.33166681,67.31544673956105,17.07505834493846,2023-01-01
ETC,17730001,150596398.302008,118158388.39352712,70.13196927430391,17.332818006725688,2024-01-01
ETC,19840001,156673198.29194674,119950627.74159533,72.96190382111699,17.595724084465157,2025-01-01
ETC,21940001,161603757.12021998,121761364.3501216,75.25803974567047,17.86134355101689,2026-01-01
ETC,24040001,166442157.09969214,123599435.26383278,77.51125776763568,18.1309727247384,2027-01-01
ETC,26140001,170755244.16658798,125465253.11271507,79.51984026405322,18.404672134895122,2028-01-01
ETC,28250001,174644396.1626641,127368323.78337504,81.33099837518496,18.683836213188304,2029-01-01
ETC,30350001,178386091.4195228,129291035.57724752,83.0734866401538,18.965881475108972,2030-01-01
ETC,32460001,181497413.0038071,131252136.13442577,84.52241312320234,19.25355803800564,2031-01-01
ETC,34560001,184593988.9881659,133233476.72697274,85.96447265609426,19.544203639785326,2032-01-01
ETC,36670001,187212806.97497585,135254376.66235766,87.18404274313997,19.840652256477437,2033-01-01
ETC,38770001,189690067.8000138,137296133.80775285,88.33769038694076,20.14016044625743,2034-01-01
ETC,40870001,191962069.39393237,139368712.6710324,89.39574986095505,20.444189916616885,2035-01-01
ETC,42970001,193943878.04144576,141472578.5270737,90.3186679701666,20.752808919373408,2036-01-01
ETC,45080001,195920024.00105032,143618450.05897674,91.23894899470076,21.067589793029317,2037-01-01
ETC,47190001,197513020.66628966,145796870.4047836,91.98079936058127,21.387145297377135,2038-01-01
ETC,49290001,199098467.58430037,147997773.68989506,92.71913384795052,21.70999885529966,2039-01-01
ETC,51390001,200474031.21079537,150231901.11253977,93.35972676435436,22.03772610807469,2040-01-01
ETC,53500001,201748428.51783368,152510635.00667948,93.9532070453451,22.371996746070668,2041-01-01
ETC,55600001,202944308.224381,154812887.15154532,94.51012208302843,22.709717308910875,2042-01-01
ETC,57700001,203958994.26943162,157149893.3641389,94.98265616310549,23.05253599418748,2043-01-01
ETC,59810001,204978512.152792,159533560.12078112,95.4574404054686,23.402199379439146,2044-01-01
ETC,61910001,205808621.76975158,161941828.1143518,95.84401819090915,23.75547155428433,2045-01-01
ETC,64020001,206624236.0638633,164398179.46097416,96.2238455789428,24.115797142932195,2046-01-01
ETC,66120001,207349398.20494363,166879882.20425966,96.56154986384306,24.479841563146344,2047-01-01
ETC,68220001,207998797.2887964,169399047.9445536,96.86397168208727,24.84938148239329,2048-01-01
ETC,70330001,208630878.9380844,171968511.21651864,97.15832885999149,25.226299616378057,2049-01-01
ETC,72430001,209150398.19264963,174564493.2854496,97.40026630875776,25.607107829499963,2050-01-01
ETC,74530001,209669917.44721487,177199663.4758169,97.64220375752404,25.993664602551615,2051-01-01
ETC,76640001,210110766.5442756,179887447.33664855,97.84750491796524,26.38793934795565,2052-01-01
ETC,78740001,210526381.9479278,182602971.1520634,98.04105487697828,26.786283305802773,2053-01-01
ETC,80850001,210910331.32676598,185372712.97423047,98.219858130862,27.1925805783193,2054-01-01
ETC,82950001,211242823.6246538,188171040.61890128,98.37469808641424,27.60307114481831,2055-01-01
ETC,85050001,211573732.56314918,191011610.92960772,98.52880067962906,28.019758346634273,2056-01-01
ETC,87160001,211840993.06393787,193908895.91885415,98.65326252228188,28.444765103369775,2057-01-01
ETC,89260001,212106986.92728207,196836083.07216144,98.77713449838186,28.874158250057953,2058-01-01
ETC,91360001,212338528.20147046,199807458.11377925,98.88496208064946,29.31003337941872,2059-01-01
ETC,93470001,212552336.60210142,202838159.47436324,98.98453155477172,29.754611168858307,2060-01-01
ETC,95570001,212753579.9153531,205900139.95651096,99.07824953223172,30.203777336057996,2061-01-01
ETC,97680001,212924626.62328127,209023255.78112617,99.15790510567268,30.661911531504977,2062-01-01
ETC,99780001,213094862.68330458,212178604.51420888,99.23718316454759,31.124774017036906,2063-01-01
ETC,101880001,213234618.32726738,215381585.39037654,99.30226665020076,31.594623727755184,2064-01-01
ETC,103990001,213371455.66845676,218648516.81550854,99.36599109723984,32.07385443326951,2065-01-01
