coin,block,original_whitepaper,current_plan,original_whitepaper_pct,current_plan_pct,date
ETH,1,72000007.42,72000007.42,3.5534406780828323,10.561781030200004,2015-07-01
ETH,30001,72222607.42005365,72222607.42005365,3.564426731049712,10.59443453319445,2015-08-01
ETH,70001,72519407.42012517,72519407.42012517,3.5790748016722183,10.637972537187045,2015-08-01
ETH,110001,72816207.4201967,72816207.4201967,3.5937228722947245,10.68151054117964,2015-08-01
ETH,150001,73113007.42026822,73113007.42026822,3.6083709429172313,10.725048545172235,2015-08-01
ETH,190001,73409807.42033975,73409807.42033975,3.6230190135397375,10.768586549164828,2015-08-01
ETH,230001,73706607.42041127,73706607.42041127,3.637667084162244,10.812124553157423,2015-09-01
ETH,270001,74003407.4204828,74003407.4204828,3.6523151547847506,10.85566255715002,2015-09-01
ETH,310001,74300207.42055432,74300207.42055432,3.666963225407257,10.899200561142612,2015-09-01
ETH,350001,74597007.42062585,74597007.42062585,3.681611296029763,10.942738565135206,2015-09-01
ETH,390001,74893807.42069738,74893807.42069738,3.69625936665227,10.986276569127803,2015-10-01
ETH,430001,75190607.4207689,75190607.4207689,3.710907437274776,11.029814573120396,2015-10-01
ETH,470001,75487407.42084043,75487407.42084043,3.7255555078972824,11.07335257711299,2015-10-01
ETH,510001,75784207.42091195,75784207.42091195,3.740203578519789,11.116890581105586,2015-10-01
ETH,550001,76081007.42098348,76081007.42098348,3.7548516491422954,11.16042858509818,2015-11-01
ETH,590001,76377807.421055,76377807.421055,3.7694997197648017,11.203966589090776,2015-11-01
ETH,630001,76674607.42112653,76674607.42112653,3.7841477903873084,11.24750459308337,2015-11-01
ETH,670001,76971407.42119806,76971407.42119806,3.7987958610098147,11.291042597075963,2015-11-01
ETH,710001,77268207.42126958,77268207.42126958,3.813443931632321,11.33458060106856,2015-11-01
ETH,750001,77565007.4213411,77565007.4213411,3.8280920022548277,11.378118605061152,2015-12-01
ETH,790001,77861807.42141263,77861807.42141263,3.842740072877334,11.421656609053747,2015-12-01
ETH,830001,78158607.42148416,78158607.42148416,3.8573881434998403,11.465194613046343,2015-12-01
ETH,870001,78455407.42155568,78455407.42155568,3.872036214122347,11.508732617038936,2015-12-01
ETH,920001,78826407.42164509,78826407.42164509,3.89034630240048,11.563155122029679,2016-01-01
ETH,960001,79123207.42171662,79123207.42171662,3.9049943730229866,11.606693126022275,2016-01-01
ETH,1000001,79420007.42178814,79420007.42178814,3.919642443645493,11.65023113001487,2016-01-01
ETH,1040001,79716807.42185967,79716807.42185967,3.934290514267999,11.693769134007463,2016-01-01
ETH,1080001,80013607.42193119,80013607.42193119,3.948938584890506,11.737307138000059,2016-02-01
ETH,1120001,80310407.42200272,80310407.42200272,3.963586655513012,11.780845141992653,2016-02-01
ETH,1160001,80607207.42207424,80607207.42207424,3.9782347261355184,11.824383145985246,2016-02-01
ETH,1200001,80904007.42214577,80904007.42214577,3.992882796758025,11.867921149977843,2016-02-01
ETH,1240001,81200807.4222173,81200807.4222173,4.007530867380531,11.911459153970435,2016-03-01
ETH,1280001,81497607.42228882,81497607.42228882,4.022178938003037,11.95499715796303,2016-03-01
ETH,1320001,81794407.42236035,81794407.42236035,4.036827008625544,11.998535161955626,2016-03-01
ETH,1360001,82091207.42243187,82091207.42243187,4.051475079248051,12.042073165948219,2016-03-01
ETH,1400001,82388007.4225034,82388007.4225034,4.066123149870557,12.085611169940815,2016-03-01
ETH,1440001,82684807.42257492,82684807.42257492,4.080771220493063,12.12914917393341,2016-04-01
ETH,1480001,82981607.42264645,82981607.42264645,4.09541929111557,12.172687177926003,2016-04-01
ETH,1520001,83278407.42271797,83278407.42271797,4.110067361738076,12.216225181918599,2016-04-01
ETH,1560001,83575207.4227895,83575207.4227895,4.124715432360582,12.259763185911194,2016-04-01
ETH,1600001,83872007.42286102,83872007.42286102,4.139363502983089,12.303301189903786,2016-05-01
ETH,1640001,84168807.42293255,84168807.42293255,4.154011573605596,12.346839193896383,2016-05-01
ETH,1680001,84465607.42300408,84465607.42300408,4.168659644228102,12.390377197888977,2016-05-01
ETH,1720001,84762407.4230756,84762407.4230756,4.183307714850608,12.43391520188157,2016-05-01
ETH,1760001,85059207.42314713,85059207.42314713,4.197955785473114,12.477453205874166,2016-05-01
ETH,1800001,85356007.42321865,85356007.42321865,4.212603856095621,12.52099120986676,2016-06-01
ETH,1840001,85652807.42329018,85652807.42329018,4.227251926718128,12.564529213859355,2016-06-01
ETH,1880001,85949607.4233617,85949607.4233617,4.241899997340634,12.608067217851948,2016-06-01
ETH,1920001,86246407.42343323,86246407.42343323,4.2565480679631404,12.651605221844545,2016-06-01
ETH,1960001,86543207.42350475,86543207.42350475,4.271196138585647,12.695143225837139,2016-07-01
ETH,2000001,86840007.42357628,86840007.42357628,4.285844209208153,12.738681229829732,2016-07-01
ETH,2040001,87136807.4236478,87136807.4236478,4.300492279830659,12.782219233822328,2016-07-01
ETH,2080001,87433607.42371933,87433607.42371933,4.3151403504531665,12.825757237814923,2016-07-01
ETH,2120001,87730407.42379086,87730407.42379086,4.329788421075673,12.869295241807515,2016-08-01
ETH,2160001,88027207.42386238,88027207.42386238,4.344436491698179,12.912833245800112,2016-08-01
ETH,2210001,88398207.42395179,88398207.42395179,4.362746579976312,12.967255750790855,2016-08-01
ETH,2250001,88695007.42402332,88695007.42402332,4.377394650598818,13.010793754783448,2016-08-01
ETH,2290001,88991807.42409484,88991807.42409484,4.392042721221325,13.054331758776044,2016-08-01
ETH,2330001,89288607.42416637,89288607.42416637,4.406690791843832,13.097869762768639,2016-09-01
ETH,2370001,89585407.42423789,89585407.42423789,4.421338862466338,13.141407766761231,2016-09-01
ETH,2410001,89882207.42430942,89882207.42430942,4.435986933088844,13.184945770753828,2016-09-01
ETH,2450001,90179007.42438094,90179007.42438094,4.4506350037113505,13.228483774746422,2016-09-01
ETH,2490001,90475807.42445247,90475807.42445247,4.465283074333857,13.272021778739015,2016-10-01
ETH,2530001,90772607.424524,90772607.424524,4.479931144956364,13.315559782731611,2016-10-01
ETH,2570001,91069407.42459552,91069407.42459552,4.49457921557887,13.359097786724206,2016-10-01
ETH,2610001,91366207.42466705,91366207.42466705,4.5092272862013765,13.402635790716799,2016-10-01
ETH,2650001,91663007.42473857,91663007.42473857,4.523875356823883,13.446173794709395,2016-11-01
ETH,2690001,91959807.4248101,91959807.4248101,4.538523427446389,13.48971179870199,2016-11-01
ETH,2730001,92256607.42488162,92184002.58482797,4.553171498068895,13.522599297925797,2016-11-01
ETH,2770001,92553407.42495315,92384002.58482797,4.567819568691402,13.55193757554177,2016-11-01
ETH,2810001,92850207.42502467,92584002.58482797,4.582467639313909,13.581275853157743,2016-11-01
ETH,2850001,93147007.4250962,92784002.58482797,4.597115709936415,13.610614130773715,2016-12-01
ETH,2890001,93443807.42516772,92984002.58482797,4.611763780558921,13.639952408389686,2016-12-01
ETH,2930001,93740607.42523925,93184002.58482797,4.626411851181428,13.669290686005658,2016-12-01
ETH,2970001,94037407.42531078,93384002.58482797,4.641059921803934,13.698628963621632,2016-12-01
ETH,3010001,94334207.4253823,93584002.58482797,4.65570799242644,13.727967241237602,2017-01-01
ETH,3050001,94631007.42545383,93784002.58482797,4.670356063048947,13.757305518853574,2017-01-01
ETH,3090001,94927807.42552535,93984002.58482797,4.685004133671454,13.786643796469548,2017-01-01
ETH,3130001,95224607.42559688,94184002.58482797,4.69965220429396,13.815982074085516,2017-01-01
ETH,3170001,95521407.4256684,94384002.58482797,4.714300274916466,13.84532035170149,2017-01-01
ETH,3210001,95818207.42573993,94584002.58482797,4.7289483455389725,13.874658629317462,2017-02-01
ETH,3250001,96115007.42581145,94784002.58482797,4.743596416161479,13.903996906933433,2017-02-01
ETH,3290001,96411807.42588298,94984002.58482797,4.758244486783986,13.933335184549406,2017-02-01
ETH,3330001,96708607.4259545,95184002.58482797,4.772892557406492,13.962673462165379,2017-02-01
ETH,3370001,97005407.42602603,95384002.58482797,4.7875406280289985,13.992011739781349,2017-03-01
ETH,3410001,97302207.42609756,95584002.58482797,4.802188698651505,14.021350017397321,2017-03-01
ETH,3460001,97673207.42618696,95834002.58482797,4.820498786929638,14.058022864417286,2017-03-01
ETH,3500001,97970007.42625849,96034002.58482797,4.835146857552145,14.087361142033258,2017-03-01
ETH,3540001,98266807.42633002,96234002.58482797,4.849794928174651,14.116699419649231,2017-04-01
ETH,3580001,98563607.42640154,96434002.58482797,4.8644429987971565,14.146037697265202,2017-04-01
