coin,block,total_supply,total_supply_pct,date
GAS,0,7.0,7.000000000000001e-06,2017-07-01
GAS,15768,110383.0,0.11038300000000001,2017-07-01
GAS,47304,331135.0,0.33113499999999996,2017-07-01
GAS,78840,551887.0,0.551887,2017-07-01
GAS,110376,772639.0,0.772639,2017-08-01
GAS,134028,938203.0,0.9382029999999999,2017-08-01
GAS,165564,1158955.0,1.158955,2017-08-01
GAS,197100,1379707.0,1.379707,2017-08-01
GAS,228636,1600459.0,1.6004589999999999,2017-08-01
GAS,260172,1821211.0,1.821211,2017-09-01
GAS,291708,2041963.0,2.041963,2017-09-01
GAS,315360,2207527.0,2.2075270000000002,2017-09-01
GAS,346896,2428279.0,2.428279,2017-09-01
GAS,378432,2649031.0,2.649031,2017-10-01
GAS,409968,2869783.0,2.869783,2017-10-01
GAS,441504,3090535.0,3.090535,2017-10-01
GAS,473040,3311287.0,3.311287,2017-10-01
GAS,504576,3532039.0,3.532039,2017-10-01
GAS,528228,3697603.0,3.697603,2017-11-01
GAS,559764,3918355.0,3.9183549999999996,2017-11-01
GAS,591300,4139107.0,4.139107,2017-11-01
GAS,622836,4359859.0,4.359859,2017-11-01
GAS,654372,4580611.0,4.580610999999999,2017-12-01
GAS,685908,4801363.0,4.801363,2017-12-01
GAS,709560,4966927.0,4.966927,2017-12-01
GAS,741096,5187679.0,5.187679,2017-12-01
GAS,772632,5408431.0,5.408430999999999,2018-01-01
GAS,804168,5629183.0,5.629183,2018-01-01
GAS,835704,5849935.0,5.849934999999999,2018-01-01
GAS,867240,6070687.0,6.070687,2018-01-01
GAS,890892,6236251.0,6.236251,2018-01-01
GAS,922428,6457003.0,6.457003,2018-02-01
GAS,953964,6677755.0,6.677755,2018-02-01
GAS,985500,6898507.0,6.8985069999999995,2018-02-01
GAS,1017036,7119259.0,7.119259,2018-02-01
GAS,1048572,7340011.0,7.3400110000000005,2018-03-01
GAS,1072224,7505575.0,7.505575,2018-03-01
GAS,1103760,7726327.0,7.7263269999999995,2018-03-01
GAS,1135296,7947079.0,7.947079,2018-03-01
GAS,1166832,8167831.0,8.167831,2018-04-01
GAS,1198368,8388583.0,8.388582999999999,2018-04-01
GAS,1229904,8609335.0,8.609335,2018-04-01
GAS,1253556,8774899.0,8.774899,2018-04-01
GAS,1285092,8995651.0,8.995651,2018-04-01
GAS,1316628,9216403.0,9.216403,2018-05-01
GAS,1348164,9437155.0,9.437155,2018-05-01
GAS,1379700,9657907.0,9.657907,2018-05-01
GAS,1411236,9878659.0,9.878658999999999,2018-05-01
GAS,1434888,10044223.0,10.044222999999999,2018-06-01
GAS,1466424,10264975.0,10.264975,2018-06-01
GAS,1497960,10485727.0,10.485727,2018-06-01
GAS,1529496,10706479.0,10.706479,2018-06-01
GAS,1561032,10927231.0,10.927230999999999,2018-07-01
GAS,1592568,11147983.0,11.147983,2018-07-01
GAS,1616220,11313547.0,11.313547,2018-07-01
GAS,1647756,11534299.0,11.534299,2018-07-01
GAS,1679292,11755051.0,11.755051,2018-07-01
GAS,1710828,11975803.0,11.975803,2018-08-01
GAS,1742364,12196555.0,12.196555,2018-08-01
GAS,1773900,12417307.0,12.417307,2018-08-01
GAS,1797552,12582871.0,12.582871,2018-08-01
GAS,1829088,12803623.0,12.803623,2018-09-01
GAS,1860624,13024375.0,13.024375,2018-09-01
GAS,1892160,13245127.0,13.245127,2018-09-01
GAS,1923696,13465879.0,13.465879,2018-09-01
GAS,1955232,13686631.0,13.686630999999998,2018-10-01
GAS,1978884,13852195.0,13.852195,2018-10-01
GAS,2010420,14062526.0,14.062526,2018-10-01
GAS,2041956,14251742.0,14.251742,2018-10-01
GAS,2073492,14440958.0,14.440958,2018-10-01
GAS,2105028,14630174.0,14.630174000000002,2018-11-01
GAS,2136564,14819390.0,14.819389999999999,2018-11-01
GAS,2160216,14961302.0,14.961302000000002,2018-11-01
GAS,2191752,15150518.0,15.150517999999998,2018-11-01
GAS,2223288,15339734.0,15.339734,2018-12-01
GAS,2254824,15528950.0,15.52895,2018-12-01
GAS,2286360,15718166.0,15.718166,2018-12-01
GAS,2317896,15907382.0,15.907382,2018-12-01
GAS,2341548,16049294.0,16.049294,2018-12-01
GAS,2373084,16238510.0,16.23851,2019-01-01
GAS,2404620,16427726.0,16.427726,2019-01-01
GAS,2436156,16616942.0,16.616942,2019-01-01
GAS,2467692,16806158.0,16.806158,2019-01-01
GAS,2499228,16995374.0,16.995373999999998,2019-02-01
GAS,2522880,17137286.0,17.137286,2019-02-01
GAS,2554416,17326502.0,17.326501999999998,2019-02-01
GAS,2585952,17515718.0,17.515718,2019-02-01
GAS,2617488,17704934.0,17.704934,2019-03-01
GAS,2649024,17894150.0,17.89415,2019-03-01
