coin,block,total_supply,total_supply_pct,date
GAS,0,7.0,7.000000000000001e-06,2017-07-01
GAS,772632,5408431.0,5.408430999999999,2018-01-01
GAS,2349432,16096598.0,16.096598,2019-01-01
GAS,3926232,25557398.0,25.557398,2020-01-01
GAS,5510916,33554585.0,33.554584999999996,2021-01-01
GAS,7087716,40350868.0,40.350868,2022-01-01
GAS,8664516,45993551.0,45.993551,2023-01-01
GAS,10241316,50482634.0,50.482634000000004,2024-01-01
GAS,11818116,53636234.0,53.636234,2025-01-01
GAS,13394916,55394917.0,55.394917,2026-01-01
GAS,14971716,56971717.0,56.971717,2027-01-01
GAS,16548516,58548517.0,58.548517,2028-01-01
GAS,18133200,60133201.0,60.133201,2029-01-01
GAS,19710000,61710001.0,61.710001000000005,2030-01-01
GAS,21286800,63286801.0,63.286801000000004,2031-01-01
GAS,22863600,64863601.0,64.863601,2032-01-01
GAS,24440400,66440401.0,66.44040100000001,2033-01-01
GAS,26017200,68017201.0,68.017201,2034-01-01
GAS,27594000,69594001.0,69.594001,2035-01-01
GAS,29170800,71170801.0,71.170801,2036-01-01
GAS,30755484,72755485.0,72.755485,2037-01-01
GAS,32332284,74332285.0,74.332285,2038-01-01
GAS,33909084,75909085.0,75.909085,2039-01-01
GAS,35485884,77485885.0,77.485885,2040-01-01
GAS,37062684,79062685.0,79.062685,2041-01-01
GAS,38639484,80639485.0,80.639485,2042-01-01
GAS,40216284,82216285.0,82.216285,2043-01-01
GAS,41793084,83793085.0,83.793085,2044-01-01
GAS,43377768,85377769.0,85.377769,2045-01-01
GAS,44954568,86954569.0,86.954569,2046-01-01
GAS,46531368,88531369.0,88.531369,2047-01-01
GAS,48108168,90108169.0,90.108169,2048-01-01
GAS,49684968,91684969.0,91.68496900000001,2049-01-01
GAS,51261768,93261769.0,93.261769,2050-01-01
GAS,52838568,94838569.0,94.83856899999999,2051-01-01
GAS,54415368,96415369.0,96.415369,2052-01-01
GAS,56000052,98000053.0,98.000053,2053-01-01
GAS,57576852,99576853.0,99.576853,2054-01-01
GAS,59153652,100000000.0,100.0,2055-01-01
GAS,60730452,100000000.0,100.0,2056-01-01
GAS,62315136,100000000.0,100.0,2057-01-01
GAS,63891936,100000000.0,100.0,2058-01-01
GAS,65468736,100000000.0,100.0,2059-01-01
GAS,67045536,100000000.0,100.0,2060-01-01
GAS,68622336,100000000.0,100.0,2061-01-01
GAS,70199136,100000000.0,100.0,2062-01-01
GAS,71775936,100000000.0,100.0,2063-01-01
GAS,73352736,100000000.0,100.0,2064-01-01
GAS,74937420,100000000.0,100.0,2065-01-01
GAS,76514220,100000000.0,100.0,2066-01-01
GAS,78091020,100000000.0,100.0,2067-01-01
