coin,total_supply,distributed_supply,total_supply_pct,distributed_supply_pct,date
IOTA,2779530283,2640553768.85,100.0,95.0,2017-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2018-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2022-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2023-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2024-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2025-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2026-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2027-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2028-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2029-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2030-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2031-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2032-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2033-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2034-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2035-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2036-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2037-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2038-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2039-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2040-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2041-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2042-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2043-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2044-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2045-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2046-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2047-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2048-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2049-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2050-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2051-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2052-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2053-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2054-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2055-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2056-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2057-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2058-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2059-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2060-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2061-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2062-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2063-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2064-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2065-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2066-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2067-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2068-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2069-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2070-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2071-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2072-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2073-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2074-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2075-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2076-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2077-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2078-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2079-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2080-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2081-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2082-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2083-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2084-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2085-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2086-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2087-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2088-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2089-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2090-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2091-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2092-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2093-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2094-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2095-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2096-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2097-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2098-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2099-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2100-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2101-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2102-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2103-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2104-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2105-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2106-01-01
