coin,block,total_supply,total_supply_pct,date
LTC,1,50.0,5.945585997841821e-05,2011-10-01
LTC,14401,720050.0,0.8562238395492007,2011-11-01
LTC,31681,1584050.0,1.8836210999762675,2011-12-01
LTC,49537,2476850.0,2.945264935750903,2012-01-01
LTC,67393,3369650.0,4.006908771525539,2012-02-01
LTC,84097,4204850.0,5.000059456605036,2012-03-01
LTC,101953,5097650.0,6.061703292379672,2012-04-01
LTC,119233,5961650.0,7.089100552806739,2012-05-01
LTC,137089,6854450.0,8.150744388581375,2012-06-01
LTC,154369,7718450.0,9.17814164900844,2012-07-01
LTC,172225,8611250.0,10.239785484783077,2012-08-01
LTC,190081,9504050.0,11.301429320557713,2012-09-01
LTC,207361,10368050.0,12.32882658098478,2012-10-01
LTC,225217,11260850.0,13.390470416759415,2012-11-01
LTC,242497,12124850.0,14.417867677186482,2012-12-01
LTC,260353,13017650.0,15.479511512961116,2013-01-01
LTC,278209,13910450.0,16.541155348735753,2013-02-01
LTC,294337,14716850.0,17.500059458467682,2013-03-01
LTC,312193,15609650.0,18.561703294242317,2013-04-01
LTC,329473,16473650.0,19.589100554669383,2013-05-01
LTC,347329,17366450.0,20.65074439044402,2013-06-01
LTC,364609,18230450.0,21.678141650871087,2013-07-01
LTC,382465,19123250.0,22.739785486645722,2013-08-01
LTC,400321,20016050.0,23.801429322420358,2013-09-01
LTC,417601,20880050.0,24.828826582847423,2013-10-01
LTC,435457,21772850.0,25.89047041862206,2013-11-01
LTC,452737,22636850.0,26.917867679049127,2013-12-01
LTC,470593,23529650.0,27.979511514823763,2014-01-01
LTC,488449,24422450.0,29.041155350598398,2014-02-01
LTC,504577,25228850.0,30.000059460330323,2014-03-01
LTC,522433,26121650.0,31.061703296104966,2014-04-01
LTC,539713,26985650.0,32.08910055653203,2014-05-01
LTC,557569,27878450.0,33.15074439230666,2014-06-01
LTC,574849,28742450.0,34.17814165273373,2014-07-01
LTC,592705,29635250.0,35.23978548850837,2014-08-01
LTC,610561,30528050.0,36.301429324283,2014-09-01
LTC,627841,31392050.0,37.328826584710065,2014-10-01
LTC,645697,32284850.0,38.390470420484704,2014-11-01
LTC,662977,33148850.0,39.41786768091177,2014-12-01
LTC,680833,34041650.0,40.47951151668641,2015-01-01
LTC,698689,34934450.0,41.54115535246105,2015-02-01
LTC,714817,35740850.0,42.50005946219297,2015-03-01
LTC,732673,36633650.0,43.56170329796761,2015-04-01
