coin,block,total_supply,total_supply_pct,date
LTC,1,50.0,5.945585997841821e-05,2011-10-01
LTC,49537,2476850.0,2.945264935750903,2012-01-01
LTC,260353,13017650.0,15.479511512961116,2013-01-01
LTC,470593,23529650.0,27.979511514823763,2014-01-01
LTC,680833,34041650.0,40.47951151668641,2015-01-01
LTC,891073,43300825.0,51.48975576299981,2016-01-01
LTC,1101889,48571225.0,57.756879051604926,2017-01-01
LTC,1312129,53827225.0,64.00687905253625,2018-01-01
LTC,1522369,59083225.0,70.25687905346757,2019-01-01
LTC,1732609,63705612.5,75.75343953278738,2020-01-01
LTC,1943425,66340812.5,78.88700117708993,2021-01-01
LTC,2153665,68968812.5,82.01200117755559,2022-01-01
LTC,2363905,71596812.5,85.13700117802125,2023-01-01
LTC,2574145,73904406.25,87.88100059576271,2024-01-01
LTC,2784961,75222006.25,89.447781417914,2025-01-01
LTC,2995201,76536006.25,91.01028141814682,2026-01-01
LTC,3205441,77850006.25,92.57278141837966,2027-01-01
LTC,3415681,79002003.125,93.94264071629117,2028-01-01
LTC,3626497,79660803.125,94.72603112736681,2029-01-01
LTC,3836737,80317803.125,95.50728112748321,2030-01-01
LTC,4046977,80974803.125,96.28853112759963,2031-01-01
LTC,4257217,81549901.5625,96.97239057107578,2032-01-01
LTC,4468033,81879301.5625,97.36408577661359,2033-01-01
LTC,4678273,82207801.5625,97.7547107766718,2034-01-01
LTC,4888513,82536301.5625,98.14533577673001,2035-01-01
LTC,5098753,82823400.78125,98.48673039572827,2036-01-01
LTC,5309569,82988100.78125,98.68257799849718,2037-01-01
LTC,5519809,83152350.78125,98.87789049852628,2038-01-01
LTC,5730049,83316600.78125,99.07320299855539,2039-01-01
LTC,5940289,83459925.390625,99.24363275668462,2040-01-01
LTC,6151105,83542275.390625,99.34155655806907,2041-01-01
LTC,6361345,83624400.390625,99.43921280808362,2042-01-01
LTC,6571585,83706525.390625,99.53686905809818,2043-01-01
LTC,6781825,83778075.1953125,99.62195016147784,2044-01-01
LTC,6992641,83819250.1953125,99.67091206217007,2045-01-01
LTC,7202881,83860312.6953125,99.71974018717734,2046-01-01
LTC,7413121,83901375.1953125,99.76856831218463,2047-01-01
LTC,7623361,83937093.84765625,99.81104197603197,2048-01-01
LTC,7834177,83957681.34765625,99.83552292637809,2049-01-01
LTC,8044417,83978212.59765625,99.85993698888173,2050-01-01
LTC,8254657,83998743.84765625,99.88435105138537,2051-01-01
LTC,8464897,84016575.04882812,99.90555443938781,2052-01-01
LTC,8675713,84026868.79882812,99.91779491456086,2053-01-01
LTC,8885953,84037134.42382812,99.93000194581269,2054-01-01
LTC,9096193,84047400.04882812,99.94220897706451,2055-01-01
LTC,9306433,84056301.58691406,99.9527939491051,2056-01-01
LTC,9517249,84061448.46191406,99.95891418669163,2057-01-01
LTC,9727489,84066581.27441406,99.96501770231754,2058-01-01
LTC,9937729,84071714.08691406,99.97112121794345,2059-01-01
LTC,10147969,84076157.82470703,99.97640534298344,2060-01-01
LTC,10358785,84078731.26220703,99.97946546177671,2061-01-01
LTC,10569025,84081297.66845703,99.98251721958967,2062-01-01
LTC,10779265,84083864.07470703,99.98556897740262,2063-01-01
LTC,10989505,84086082.42797852,99.98820685943247,2064-01-01
LTC,11200321,84087369.14672852,99.98973691882908,2065-01-01
