coin,total_supply,distributed_supply,total_supply_pct,distributed_supply_pct,date
NANO,133248290,128717848.14,100.0,96.6,2017-10-01
NANO,133248290,128717848.14,100.0,96.6,2018-01-01
NANO,133248290,128717848.14,100.0,96.6,2019-01-01
NANO,133248290,128717848.14,100.0,96.6,2020-01-01
NANO,133248290,128717848.14,100.0,96.6,2021-01-01
NANO,133248290,128717848.14,100.0,96.6,2022-01-01
NANO,133248290,128717848.14,100.0,96.6,2023-01-01
NANO,133248290,128717848.14,100.0,96.6,2024-01-01
NANO,133248290,128717848.14,100.0,96.6,2025-01-01
NANO,133248290,128717848.14,100.0,96.6,2026-01-01
NANO,133248290,128717848.14,100.0,96.6,2027-01-01
NANO,133248290,128717848.14,100.0,96.6,2028-01-01
NANO,133248290,128717848.14,100.0,96.6,2029-01-01
NANO,133248290,128717848.14,100.0,96.6,2030-01-01
NANO,133248290,128717848.14,100.0,96.6,2031-01-01
NANO,133248290,128717848.14,100.0,96.6,2032-01-01
NANO,133248290,128717848.14,100.0,96.6,2033-01-01
NANO,133248290,128717848.14,100.0,96.6,2034-01-01
NANO,133248290,128717848.14,100.0,96.6,2035-01-01
NANO,133248290,128717848.14,100.0,96.6,2036-01-01
NANO,133248290,128717848.14,100.0,96.6,2037-01-01
NANO,133248290,128717848.14,100.0,96.6,2038-01-01
NANO,133248290,128717848.14,100.0,96.6,2039-01-01
NANO,133248290,128717848.14,100.0,96.6,2040-01-01
NANO,133248290,128717848.14,100.0,96.6,2041-01-01
NANO,133248290,128717848.14,100.0,96.6,2042-01-01
NANO,133248290,128717848.14,100.0,96.6,2043-01-01
NANO,133248290,128717848.14,100.0,96.6,2044-01-01
NANO,133248290,128717848.14,100.0,96.6,2045-01-01
NANO,133248290,128717848.14,100.0,96.6,2046-01-01
NANO,133248290,128717848.14,100.0,96.6,2047-01-01
NANO,133248290,128717848.14,100.0,96.6,2048-01-01
NANO,133248290,128717848.14,100.0,96.6,2049-01-01
NANO,133248290,128717848.14,100.0,96.6,2050-01-01
NANO,133248290,128717848.14,100.0,96.6,2051-01-01
NANO,133248290,128717848.14,100.0,96.6,2052-01-01
NANO,133248290,128717848.14,100.0,96.6,2053-01-01
NANO,133248290,128717848.14,100.0,96.6,2054-01-01
NANO,133248290,128717848.14,100.0,96.6,2055-01-01
NANO,133248290,128717848.14,100.0,96.6,2056-01-01
NANO,133248290,128717848.14,100.0,96.6,2057-01-01
NANO,133248290,128717848.14,100.0,96.6,2058-01-01
NANO,133248290,128717848.14,100.0,96.6,2059-01-01
NANO,133248290,128717848.14,100.0,96.6,2060-01-01
NANO,133248290,128717848.14,100.0,96.6,2061-01-01
NANO,133248290,128717848.14,100.0,96.6,2062-01-01
NANO,133248290,128717848.14,100.0,96.6,2063-01-01
NANO,133248290,128717848.14,100.0,96.6,2064-01-01
NANO,133248290,128717848.14,100.0,96.6,2065-01-01
NANO,133248290,128717848.14,100.0,96.6,2066-01-01
NANO,133248290,128717848.14,100.0,96.6,2067-01-01
NANO,133248290,128717848.14,100.0,96.6,2068-01-01
NANO,133248290,128717848.14,100.0,96.6,2069-01-01
NANO,133248290,128717848.14,100.0,96.6,2070-01-01
NANO,133248290,128717848.14,100.0,96.6,2071-01-01
NANO,133248290,128717848.14,100.0,96.6,2072-01-01
NANO,133248290,128717848.14,100.0,96.6,2073-01-01
NANO,133248290,128717848.14,100.0,96.6,2074-01-01
NANO,133248290,128717848.14,100.0,96.6,2075-01-01
NANO,133248290,128717848.14,100.0,96.6,2076-01-01
NANO,133248290,128717848.14,100.0,96.6,2077-01-01
NANO,133248290,128717848.14,100.0,96.6,2078-01-01
NANO,133248290,128717848.14,100.0,96.6,2079-01-01
NANO,133248290,128717848.14,100.0,96.6,2080-01-01
NANO,133248290,128717848.14,100.0,96.6,2081-01-01
NANO,133248290,128717848.14,100.0,96.6,2082-01-01
NANO,133248290,128717848.14,100.0,96.6,2083-01-01
NANO,133248290,128717848.14,100.0,96.6,2084-01-01
NANO,133248290,128717848.14,100.0,96.6,2085-01-01
NANO,133248290,128717848.14,100.0,96.6,2086-01-01
NANO,133248290,128717848.14,100.0,96.6,2087-01-01
NANO,133248290,128717848.14,100.0,96.6,2088-01-01
NANO,133248290,128717848.14,100.0,96.6,2089-01-01
NANO,133248290,128717848.14,100.0,96.6,2090-01-01
NANO,133248290,128717848.14,100.0,96.6,2091-01-01
NANO,133248290,128717848.14,100.0,96.6,2092-01-01
NANO,133248290,128717848.14,100.0,96.6,2093-01-01
NANO,133248290,128717848.14,100.0,96.6,2094-01-01
NANO,133248290,128717848.14,100.0,96.6,2095-01-01
NANO,133248290,128717848.14,100.0,96.6,2096-01-01
NANO,133248290,128717848.14,100.0,96.6,2097-01-01
NANO,133248290,128717848.14,100.0,96.6,2098-01-01
NANO,133248290,128717848.14,100.0,96.6,2099-01-01
NANO,133248290,128717848.14,100.0,96.6,2100-01-01
NANO,133248290,128717848.14,100.0,96.6,2101-01-01
NANO,133248290,128717848.14,100.0,96.6,2102-01-01
NANO,133248290,128717848.14,100.0,96.6,2103-01-01
