coin,total_supply,total_supply_pct,date
NEO,50000000.0,50.0,2014-02-01
NEO,50000000.0,50.0,2015-01-01
NEO,50000000.0,50.0,2016-01-01
NEO,50000000.0,50.0,2017-01-01
NEO,65000000.0,65.0,2018-01-01
NEO,65000000.0,65.0,2019-01-01
NEO,65000000.0,65.0,2020-01-01
NEO,80000000.0,80.0,2021-01-01
NEO,80000000.0,80.0,2022-01-01
NEO,80000000.0,80.0,2023-01-01
NEO,95000000.0,95.0,2024-01-01
NEO,95000000.0,95.0,2025-01-01
NEO,95000000.0,95.0,2026-01-01
NEO,100000000.0,100.0,2027-01-01
NEO,100000000.0,100.0,2028-01-01
NEO,100000000.0,100.0,2029-01-01
NEO,100000000.0,100.0,2030-01-01
NEO,100000000.0,100.0,2031-01-01
NEO,100000000.0,100.0,2032-01-01
NEO,100000000.0,100.0,2033-01-01
NEO,100000000.0,100.0,2034-01-01
NEO,100000000.0,100.0,2035-01-01
NEO,100000000.0,100.0,2036-01-01
NEO,100000000.0,100.0,2037-01-01
