coin,total_supply,total_supply_pct,date
TRX,66000000000.0,41.23513156313445,2017-09-01
TRX,66038461538.46155,41.25916136008267,2017-10-01
TRX,66086538461.53848,41.289198606267945,2017-11-01
TRX,66125000000.00003,41.313228403216165,2017-12-01
TRX,66173076923.076965,41.34326564940144,2018-01-01
TRX,66211538461.53851,41.36729544634966,2018-02-01
TRX,66250000000.00006,41.39132524329788,2018-03-01
TRX,66288461538.46161,41.4153550402461,2018-04-01
TRX,66336538461.53854,41.44539228643137,2018-05-01
TRX,66375000000.00009,41.46942208337959,2018-06-01
TRX,66413461538.46164,41.49345188032781,2018-07-01
TRX,66461538461.538574,41.523489126513084,2018-08-01
TRX,66500000000.00012,41.547518923461304,2018-09-01
TRX,68198076923.07706,42.608434458724936,2018-10-01
TRX,68236538461.538605,42.632464255673156,2018-11-01
TRX,68275000000.00015,42.65649405262138,2018-12-01
TRX,68323076923.07709,42.68653129880665,2019-01-01
TRX,68361538461.538635,42.710561095754876,2019-02-01
TRX,68400000000.00018,42.73459089270309,2019-03-01
TRX,68448076923.07712,42.76462813888837,2019-04-01
TRX,68486538461.538666,42.78865793583658,2019-05-01
TRX,68525000000.00021,42.8126877327848,2019-06-01
TRX,68573076923.07715,42.842724978970075,2019-07-01
TRX,68611538461.5387,42.866754775918295,2019-08-01
TRX,68650000000.000244,42.89078457286652,2019-09-01
TRX,70348076923.07718,43.951700108130154,2019-10-01
TRX,70386538461.53873,43.97572990507837,2019-11-01
TRX,70425000000.00027,43.999759702026594,2019-12-01
TRX,70473076923.07721,44.02979694821186,2020-01-01
TRX,70511538461.53876,44.05382674516009,2020-02-01
TRX,70550000000.0003,44.07785654210831,2020-03-01
TRX,70598076923.07724,44.10789378829358,2020-04-01
TRX,70636538461.53879,44.1319235852418,2020-05-01
TRX,70684615384.61572,44.16196083142707,2020-06-01
TRX,70723076923.07727,44.18599062837529,2020-07-01
TRX,70761538461.53882,44.210020425323506,2020-08-01
TRX,72459615384.61575,45.27093596058715,2020-09-01
TRX,72498076923.0773,45.294965757535365,2020-10-01
TRX,72536538461.53885,45.318995554483585,2020-11-01
TRX,72584615384.61578,45.34903280066886,2020-12-01
TRX,72623076923.07733,45.37306259761708,2021-01-01
TRX,72671153846.15427,45.40309984380235,2021-02-01
TRX,72709615384.61581,45.42712964075057,2021-03-01
TRX,72748076923.07736,45.45115943769879,2021-04-01
TRX,72786538461.53891,45.47518923464701,2021-05-01
TRX,72834615384.61584,45.505226480832285,2021-06-01
TRX,72873076923.0774,45.529256277780505,2021-07-01
TRX,72911538461.53894,45.553286074728724,2021-08-01
TRX,74609615384.61588,46.614201609992364,2021-09-01
TRX,74648076923.07742,46.63823140694058,2021-10-01
TRX,74696153846.15436,46.66826865312586,2021-11-01
TRX,74734615384.6159,46.69229845007407,2021-12-01
TRX,74773076923.07745,46.71632824702229,2022-01-01
TRX,74821153846.15439,46.74636549320757,2022-02-01
TRX,74859615384.61594,46.77039529015579,2022-03-01
TRX,74898076923.07748,46.79442508710401,2022-04-01
TRX,74936538461.53903,46.81845488405222,2022-05-01
TRX,74984615384.61597,46.8484921302375,2022-06-01
TRX,75023076923.07751,46.872521927185716,2022-07-01
TRX,75071153846.15445,46.902559173370996,2022-08-01
TRX,76759615384.616,47.957467259397575,2022-09-01
TRX,76798076923.07755,47.981497056345795,2022-10-01
TRX,76846153846.15448,48.01153430253107,2022-11-01
TRX,76884615384.61603,48.03556409947929,2022-12-01
TRX,76923076923.07758,48.05959389642751,2023-01-01
TRX,76971153846.15451,48.08963114261278,2023-02-01
TRX,77009615384.61606,48.113660939561,2023-03-01
TRX,77048076923.0776,48.13769073650922,2023-04-01
TRX,77096153846.15454,48.167727982694494,2023-05-01
