coin,total_supply,total_supply_pct,date
XLM,2000000000.0,0.6282403313401503,2015-10-01
XLM,2581587857.1882815,0.8109288053918374,2015-11-01
XLM,3309202022.0001345,1.0394870873864301,2015-12-01
XLM,3891797248.207531,1.2224919963612924,2016-01-01
XLM,4620671714.379603,1.4514461644279513,2016-02-01
XLM,5204276054.47119,1.6347680564232956,2016-03-01
XLM,5788329450.49284,1.8182310059417859,2016-04-01
XLM,6372832247.971847,2.0018351215205143,2016-05-01
XLM,7104093242.439611,2.2315389462507924,2016-06-01
XLM,7689608457.909277,2.4154610827364738,2016-07-01
XLM,8422136070.415244,2.6455627777347526,2016-08-01
XLM,9008665457.485973,2.8298034859717776,2016-09-01
XLM,9595646151.172037,3.0141859587175794,2016-10-01
XLM,10330007197.260386,3.2448635721765013,2016-11-01
XLM,10918004600.904076,3.429565414022631,2016-12-01
XLM,11506454440.732399,3.6144093751980333,2017-01-01
XLM,12242653509.279564,3.845664348576224,2017-02-01
XLM,12832122603.775295,4.030828478196613,2017-03-01
XLM,13422045266.852148,4.216135082854845,2017-04-01
XLM,14160086958.220007,4.447968861218739,2017-05-01
XLM,14751031427.043165,4.633596435667284,2017-06-01
XLM,15342430599.678194,4.8193668417525455,2017-07-01
XLM,16082319525.742807,5.0517808737854155,2017-08-01
XLM,16674743061.588104,5.237873053011992,2017-09-01
XLM,17267622439.317368,5.42410842136668,2017-10-01
XLM,18009363223.49779,5.657104159377686,2017-11-01
XLM,18603269528.30233,5.8436621062353895,2017-12-01
XLM,19346295082.577183,6.077061416441305,2018-01-01
XLM,19941230093.198605,6.263942500540634,2018-02-01
XLM,20536622878.165016,6.450967380793051,2018-03-01
XLM,21132473789.712124,6.638136167842894,2018-04-01
XLM,21877932206.697914,6.872299689286622,2018-05-01
XLM,22474815192.31756,7.0597926716151145,2018-06-01
XLM,23072157451.156803,7.247429920923435,2018-07-01
XLM,23819481666.062878,7.48217952711899,2018-08-01
XLM,24417858582.139072,7.670141783129993,2018-09-01
XLM,25166477238.206577,7.905297999397626,2018-10-01
XLM,25765890603.65075,8.093585825055808,2018-11-01
XLM,26365765189.322094,8.282018529288157,2018-12-01
XLM,27116257553.0301,8.517763314910242,2019-01-01
XLM,27717171182.184708,8.706522403653693,2019-02-01
XLM,28318547185.948433,8.895426733585964,2019-03-01
XLM,29070917946.97478,9.131761561684879,2019-04-01
XLM,29673335594.829834,9.320993093031687,2019-05-01
XLM,30276216774.565243,9.510370229089544,2019-06-01
XLM,31030470634.325504,9.74729657647473,2019-07-01
XLM,31634396065.269333,9.937001732895178,2019-08-01
XLM,32238786188.26127,10.126852858458761,2019-09-01
XLM,32994927859.938126,10.364372205635943,2019-10-01
XLM,33600364847.78089,10.554552172559903,2019-11-01
XLM,34206267690.743286,10.744878473971221,2019-12-01
XLM,34964301899.31601,10.982992305151669,2020-01-01
XLM,35571254227.31332,11.17364827097602,2020-02-01
XLM,36178673576.4128,11.36445093754636,2020-03-01
XLM,36938605058.6867,11.603160740656143,2020-04-01
XLM,37547076519.56317,11.794293896752173,2020-05-01
XLM,38308324280.061295,12.033417169395817,2020-06-01
XLM,38917849675.0788,12.224881387458833,2020-07-01
XLM,39527844071.051834,12.4164929281797,2020-08-01
XLM,40290997148.40733,12.656214699270238,2020-09-01
XLM,40902048116.39911,12.848158130568674,2020-10-01
XLM,41513569259.20264,13.040249253256873,2020-11-01
XLM,42278632422.207664,13.280571020768084,2020-12-01
XLM,42891212781.509926,13.472994864718343,2021-01-01
XLM,43657601111.32948,13.713732893848876,2021-02-01
XLM,44271242521.80062,13.906490035368089,2021-03-01
XLM,44885356100.30647,14.099395494388588,2021-04-01
XLM,45499942210.15798,14.292449385033674,2021-05-01
XLM,46268839898.61127,14.533975654313954,2021-06-01
XLM,46884490533.79457,14.72736393383262,2021-07-01
XLM,47500614883.01594,14.920901016483404,2021-08-01
XLM,48271437035.22917,15.16303179863879,2021-09-01
XLM,48888628574.16858,15.356904107100606,2021-10-01
XLM,49660785868.3484,15.599454284271728,2021-11-01
XLM,50279046445.48643,15.7936623991896,2021-12-01
XLM,50897782744.88938,15.988019948064148,2022-01-01
XLM,51671872661.25281,16.231177200835763,2022-02-01
XLM,52291680674.53581,16.425871396651857,2022-03-01
XLM,52911965600.76265,16.620715400440883,2022-04-01
XLM,53532727806.89526,16.81570932747298,2022-05-01
XLM,54309352298.929184,17.059662741574115,2022-06-01
XLM,54931189728.01731,17.25499441781913,2022-07-01
XLM,55709159412.25752,17.49937038391896,2022-08-01
XLM,56332073926.69612,17.69504039439271,2022-09-01
XLM,56955467744.384224,17.890860963682595,2022-10-01
XLM,57735384598.56152,18.135848575125653,2022-11-01
XLM,58359858197.422646,18.3320083254565,2022-12-01
XLM,58984812299.17498,18.528319011435133,2023-01-01
XLM,59766681196.835014,18.773919799100383,2023-02-01
XLM,60392717782.33024,18.97057051505167,2023-03-01
XLM,61019236073.36095,19.167372544425568,2023-04-01
XLM,61803061900.24729,19.41358804302359,2023-05-01
XLM,62430665384.35501,19.610730953426625,2023-06-01
XLM,63058751779.652565,19.808025555972613,2023-07-01
XLM,63844539433.73724,20.05485730405519,2023-08-01
XLM,64473713738.22707,20.25249364081689,2023-09-01
XLM,65103372162.578705,20.450282049389784,2023-10-01
XLM,65891126554.092834,20.69773158935953,2023-11-01
XLM,66521875610.55013,20.89586258747014,2023-12-01
XLM,67310994472.382675,21.14374073508236,2024-01-01
XLM,67942836050.03081,21.342214916130434,2024-02-01
XLM,68575163799.881256,21.540841813671243,2024-03-01
XLM,69366257736.77864,21.78934037219004,2024-04-01
XLM,69999680742.27664,21.98831131161631,2024-05-01
XLM,70633591136.81087,22.187435349767384,2024-06-01
XLM,71426665092.16211,22.43655587201094,2024-07-01
XLM,72061673483.6446,22.63602481314531,2024-08-01
XLM,72697170484.04285,22.83564723619324,2024-09-01
XLM,73492229413.60971,23.085391278866254,2024-10-01
XLM,74128827159.11813,23.285359468150556,2024-11-01
XLM,74765914736.47504,23.485481523496254,2024-12-01
XLM,75562963608.423,23.735850647199698,2025-01-01
XLM,76201154685.93034,23.936319334195467,2025-02-01
XLM,76839836821.27974,24.136942272361935,2025-03-01
XLM,77638880616.209,24.387938041602762,2025-04-01
XLM,78278669013.64462,24.58890847899903,2025-05-01
XLM,78918949697.98442,24.790033553639194,2025-06-01
XLM,79719993408.96107,25.041657536840155,2025-07-01
XLM,80361383124.2357,25.243130980461302,2025-08-01
XLM,81163814323.97682,25.495190801862822,2025-09-01
XLM,81806314991.14008,25.697013217875273,2025-10-01
XLM,82449310032.17076,25.89899092668887,2025-11-01
XLM,83253749626.24957,26.151681625252476,2025-12-01
XLM,83897858399.75554,26.35400917989572,2026-01-01
XLM,84542462784.49069,26.556492416020383,2026-02-01
XLM,85187563161.80441,26.759131453415996,2026-03-01
XLM,85994636704.44714,27.012649528338866,2026-04-01
XLM,86640854460.89162,27.215639557052146,2026-05-01
XLM,87449325936.57741,27.4695967509341,2026-06-01
XLM,88096663007.56635,27.67293837891752,2026-07-01
XLM,88744498173.80667,27.876436468663833,2026-08-01
XLM,89554993161.95615,28.131029288616116,2026-09-01
XLM,90203950444.25839,28.3348798576457,2026-10-01
XLM,90853407068.48795,28.53888728004421,2026-11-01
XLM,91665930633.72346,28.794117316966833,2026-12-01
