coin,total_supply,total_supply_pct,date
XLM,2000000000.0,0.6282403313401503,2015-10-01
XLM,3891797248.207531,1.2224919963612924,2016-01-01
XLM,11506454440.732399,3.6144093751980333,2017-01-01
XLM,19346295082.577183,6.077061416441305,2018-01-01
XLM,27116257553.0301,8.517763314910242,2019-01-01
XLM,34964301899.31601,10.982992305151669,2020-01-01
XLM,42891212781.509926,13.472994864718343,2021-01-01
XLM,50897782744.88938,15.988019948064148,2022-01-01
XLM,58984812299.17498,18.528319011435133,2023-01-01
XLM,67310994472.382675,21.14374073508236,2024-01-01
XLM,75562963608.423,23.735850647199698,2025-01-01
XLM,83897858399.75554,26.35400917989572,2026-01-01
XLM,92316512182.54424,28.99847810086431,2027-01-01
XLM,100819766667.31161,31.66952180835425,2028-01-01
XLM,107251607425.52997,33.68989269288934,2029-01-01
XLM,108329399850.61995,34.02844902801655,2030-01-01
XLM,109418023223.04451,34.37040758211488,2031-01-01
XLM,110517586385.11636,34.71580254474959,2032-01-01
XLM,111628199272.92607,35.0646684490637,2033-01-01
XLM,112749972927.33327,35.41704017523042,2034-01-01
XLM,113904920085.74321,35.77983236797033,2035-01-01
XLM,115049572953.85182,36.13939091653533,2036-01-01
XLM,116205728662.99205,36.502562739430864,2037-01-01
XLM,117373502807.4681,36.86938414715891,2038-01-01
XLM,118553012143.21393,37.23989181511279,2039-01-01
XLM,119744374599.46686,37.61412278724407,2040-01-01
XLM,120970968465.42166,37.99942065562769,2041-01-01
XLM,122186629438.69289,38.38128428195029,2042-01-01
XLM,123414506827.36267,38.766985330701786,2043-01-01
XLM,124654723396.58382,39.1565623648923,2044-01-01
XLM,125907403145.20024,39.550054335059244,2045-01-01
XLM,127197127601.09041,39.95518279481221,2046-01-01
XLM,128475356467.88708,40.35670025821466,2047-01-01
XLM,129766430507.10803,40.76225264930707,2048-01-01
XLM,131070478802.4087,41.1718805158687,2049-01-01
XLM,132387631734.6315,41.58562481315135,2050-01-01
XLM,133718020994.84149,42.0035269079742,2051-01-01
XLM,135087753016.64635,42.43378735758715,2052-01-01
XLM,136445276324.86208,42.860212804064865,2053-01-01
XLM,137816441650.88623,43.290923483436636,2054-01-01
XLM,139201386086.02957,43.725962458847704,2055-01-01
XLM,140600248099.26068,44.16537322619344,2056-01-01
XLM,142040477775.57855,44.617778410721364,2057-01-01
XLM,143467870377.67993,45.06615121136969,2058-01-01
XLM,144909607127.81876,45.519029798175936,2059-01-01
XLM,146365832173.15033,45.9764594506684,2060-01-01
XLM,147836691109.39273,46.438485903398174,2061-01-01
XLM,149322330995.38416,46.905155350511876,2062-01-01
XLM,150851904771.70264,47.385625318533634,2063-01-01
XLM,152367845130.78973,47.86181275527603,2064-01-01
XLM,153899019471.68027,48.34278549290633,2065-01-01
XLM,155445580883.6435,48.82859161985117,2066-01-01
XLM,157007683994.37244,49.31927970778708,2067-01-01
XLM,158585484985.44427,49.81489881649698,2068-01-01
XLM,160209945289.01395,50.325174556178744,2069-01-01
XLM,161819926431.50143,50.83090209938261,2070-01-01
XLM,163446086590.05734,51.34171179779427,2071-01-01
XLM,165088588350.7855,51.857654722987576,2072-01-01
XLM,166747595933.64917,52.37878245976463,2073-01-01
XLM,168455664300.27658,52.91532117806545,2074-01-01
XLM,170148508289.32733,53.447077612359664,2075-01-01
XLM,171858363999.4334,53.984177771290106,2076-01-01
XLM,173585402384.71402,54.526675354993024,2077-01-01
XLM,175329796117.23996,55.074624603247926,2078-01-01
XLM,177091719604.29755,55.62808030090045,2079-01-01
XLM,178905747342.1733,56.197902994452086,2080-01-01
XLM,180703606264.00195,56.76264673682832,2081-01-01
XLM,182519532222.52908,57.33306569976546,2082-01-01
XLM,184353706776.94763,57.90921691466725,2083-01-01
XLM,186206313310.97464,58.491157986057274,2084-01-01
XLM,188113705808.31122,59.090308433318505,2085-01-01
XLM,190004097309.59076,59.68411852488173,2086-01-01
XLM,191913485725.59656,60.28389593044599,2087-01-01
XLM,193842061960.04852,60.88970061671942,2088-01-01
XLM,195790018835.0951,61.501593153027216,2089-01-01
XLM,197757551110.5923,62.11963471736761,2090-01-01
XLM,199783267975.78836,62.755953234663664,2091-01-01
XLM,201790929194.60532,63.38660010932783,2092-01-01
XLM,203818765794.5259,64.02358447804673,2093-01-01
XLM,205866980521.9093,64.66697002754029,2094-01-01
XLM,207935778160.55273,65.31682108452883,2095-01-01
XLM,210025365552.1659,65.97320262216445,2096-01-01
XLM,212176746992.36218,66.64899491657843,2097-01-01
XLM,214308952711.02594,67.31876373016777,2098-01-01
XLM,216462585382.88376,67.99526318184425,2099-01-01
XLM,218637860331.58832,68.67856090910928,2100-01-01
XLM,220834995044.62158,69.36872522916676,2101-01-01
XLM,223054209195.04004,70.06582514575358,2102-01-01
