coin,total_supply,total_supply_pct,date
XMR,25332.75,0.09365279461250808,2014-04-01
XMR,188197.08745506767,0.6957469354137105,2014-05-01
XMR,565023.4743890844,2.088838653450835,2014-06-01
XMR,914723.5232718404,3.3816468505080355,2014-07-01
XMR,1261248.9660233539,4.6627188272186535,2014-08-01
XMR,1593322.0123017451,5.890361653183465,2014-09-01
XMR,1901490.3480200549,7.029631012061017,2014-10-01
XMR,2206861.10595377,8.158557988936096,2014-11-01
XMR,2490249.352317426,9.206217687638144,2014-12-01
XMR,2771064.9766088203,10.244366644452748,2015-01-01
XMR,3040168.7372463318,11.239217942651262,2015-02-01
XMR,3273570.315732117,12.102081630650568,2015-03-01
XMR,3521716.2894515726,13.019453961355646,2015-04-01
XMR,3751999.152193207,13.870788050513855,2015-05-01
XMR,3980191.4879523185,14.714393657998103,2015-06-01
XMR,4191957.1013396955,15.497271217542954,2015-07-01
XMR,4401800.288874422,16.27304174948377,2015-08-01
XMR,4602891.631467099,17.01645753364402,2015-09-01
XMR,4789507.151963736,17.70635756473333,2015-10-01
XMR,4974428.561242931,18.389994625955662,2015-11-01
XMR,5146038.162127183,19.02441918330326,2015-12-01
XMR,5316089.876780398,19.653084381748844,2016-01-01
XMR,5479049.313355596,20.255530095054628,2016-02-01
XMR,5625336.753204163,20.796341004195067,2016-03-01
XMR,5775398.555393082,21.351105375989746,2016-04-01
XMR,5914657.963386952,21.865934312236675,2016-05-01
XMR,6052653.162891682,22.37608958857772,2016-06-01
XMR,6180714.598305012,22.84952067318352,2016-07-01
XMR,6307613.481355721,23.318653911024047,2016-08-01
XMR,6429219.844020957,23.768221198675864,2016-09-01
XMR,6542072.214351211,24.18542579983736,2016-10-01
XMR,6653900.101476723,24.598842982927096,2016-11-01
XMR,6757677.912559518,24.982499791867006,2016-12-01
XMR,6860513.620041228,25.362673732383396,2017-01-01
XMR,6959060.400267499,25.726991912141017,2017-02-01
XMR,7044532.910963796,26.042975746870994,2017-03-01
XMR,7135404.873058393,26.37892084568896,2017-04-01
XMR,7219735.298655994,26.69068249920378,2017-05-01
XMR,7303300.165635553,26.999613954496166,2017-06-01
XMR,7380849.506873033,27.28630657678348,2017-07-01
XMR,7457694.848740326,27.570396579599034,2017-08-01
XMR,7531335.233017899,27.842638155580072,2017-09-01
XMR,7599674.518361316,28.09528206728459,2017-10-01
XMR,7667393.413988031,28.345632456544127,2017-11-01
XMR,7730237.476750271,28.577961047103294,2017-12-01
XMR,7792511.035883486,28.808180539392637,2018-01-01
XMR,7852187.376875259,29.02879836043964,2018-02-01
XMR,7903946.416409824,29.220146662494145,2018-03-01
XMR,7958975.167061008,29.42358277908308,2018-04-01
XMR,8010042.601454996,29.612374281967202,2018-05-01
XMR,8060646.441431846,29.799451919884767,2018-06-01
XMR,8107607.498107157,29.97306253048169,2018-07-01
XMR,8154142.238403825,30.145097089514973,2018-08-01
XMR,8198736.173109997,30.30995667278172,2018-09-01
XMR,8240119.955369791,30.46294862431739,2018-10-01
XMR,8281128.052211993,30.614551702191395,2018-11-01
XMR,8319184.127814838,30.755241435133584,2018-12-01
