coin,total_supply,total_supply_pct,date
XRP,40000000000.0,43.604156021120765,2018-12-01
XRP,40500000000.0,44.149207971384776,2019-01-01
XRP,41000000000.0,44.69425992164878,2019-02-01
XRP,41500000000.0,45.23931187191279,2019-03-01
XRP,42000000000.0,45.7843638221768,2019-04-01
XRP,42500000000.0,46.32941577244081,2019-05-01
XRP,43000000000.0,46.87446772270482,2019-06-01
XRP,43500000000.0,47.41951967296883,2019-07-01
XRP,44000000000.0,47.964571623232835,2019-08-01
XRP,44500000000.0,48.509623573496846,2019-09-01
XRP,45000000000.0,49.054675523760864,2019-10-01
XRP,45500000000.0,49.59972747402487,2019-11-01
XRP,46000000000.0,50.14477942428888,2019-12-01
XRP,46500000000.0,50.68983137455289,2020-01-01
XRP,47000000000.0,51.23488332481689,2020-02-01
XRP,47500000000.0,51.7799352750809,2020-03-01
XRP,48000000000.0,52.32498722534492,2020-04-01
XRP,48500000000.0,52.87003917560893,2020-05-01
XRP,49000000000.0,53.41509112587294,2020-06-01
XRP,49500000000.0,53.960143076136944,2020-07-01
XRP,50000000000.0,54.505195026400955,2020-08-01
XRP,50500000000.0,55.050246976664965,2020-09-01
XRP,51000000000.0,55.59529892692897,2020-10-01
XRP,51500000000.0,56.14035087719298,2020-11-01
XRP,52000000000.0,56.68540282745699,2020-12-01
XRP,52500000000.0,57.23045477772099,2021-01-01
XRP,53000000000.0,57.77550672798502,2021-02-01
XRP,53500000000.0,58.32055867824902,2021-03-01
XRP,54000000000.0,58.86561062851303,2021-04-01
XRP,54500000000.0,59.41066257877704,2021-05-01
XRP,55000000000.0,59.955714529041046,2021-06-01
XRP,55500000000.0,60.50076647930506,2021-07-01
XRP,56000000000.0,61.04581842956907,2021-08-01
XRP,56500000000.0,61.59087037983307,2021-09-01
XRP,57000000000.0,62.13592233009708,2021-10-01
XRP,57500000000.0,62.6809742803611,2021-11-01
XRP,58000000000.0,63.22602623062511,2021-12-01
XRP,58500000000.0,63.77107818088912,2022-01-01
XRP,59000000000.0,64.31613013115313,2022-02-01
XRP,59500000000.0,64.86118208141714,2022-03-01
XRP,60000000000.0,65.40623403168114,2022-04-01
XRP,60500000000.0,65.95128598194515,2022-05-01
XRP,61000000000.0,66.49633793220916,2022-06-01
XRP,61500000000.0,67.04138988247317,2022-07-01
XRP,62000000000.0,67.5864418327372,2022-08-01
XRP,62500000000.0,68.13149378300119,2022-09-01
XRP,63000000000.0,68.6765457332652,2022-10-01
XRP,63500000000.0,69.22159768352921,2022-11-01
XRP,64000000000.0,69.76664963379322,2022-12-01
XRP,64500000000.0,70.31170158405723,2023-01-01
XRP,65000000000.0,70.85675353432124,2023-02-01
XRP,65500000000.0,71.40180548458524,2023-03-01
XRP,66000000000.0,71.94685743484925,2023-04-01
XRP,66250000000.0,72.21938340998126,2023-05-01
XRP,66500000000.0,72.49190938511327,2023-06-01
XRP,66750000000.0,72.76443536024527,2023-07-01
XRP,67000000000.0,73.03696133537728,2023-08-01
XRP,67250000000.0,73.30948731050928,2023-09-01
XRP,67500000000.0,73.5820132856413,2023-10-01
XRP,67750000000.0,73.8545392607733,2023-11-01
XRP,68000000000.0,74.12706523590529,2023-12-01
XRP,68250000000.0,74.39959121103729,2024-01-01
XRP,68500000000.0,74.6721171861693,2024-02-01
XRP,68750000000.0,74.94464316130131,2024-03-01
XRP,69000000000.0,75.21716913643331,2024-04-01
XRP,69250000000.0,75.48969511156533,2024-05-01
XRP,69500000000.0,75.76222108669732,2024-06-01
XRP,69750000000.0,76.03474706182934,2024-07-01
XRP,70000000000.0,76.30727303696133,2024-08-01
XRP,70250000000.0,76.57979901209335,2024-09-01
XRP,70500000000.0,76.85232498722534,2024-10-01
XRP,70750000000.0,77.12485096235736,2024-11-01
XRP,71000000000.0,77.39737693748935,2024-12-01
XRP,71250000000.0,77.66990291262135,2025-01-01
XRP,71500000000.0,77.94242888775337,2025-02-01
XRP,71750000000.0,78.21495486288536,2025-03-01
XRP,72000000000.0,78.48748083801738,2025-04-01
XRP,72250000000.0,78.76000681314937,2025-05-01
XRP,72500000000.0,79.03253278828139,2025-06-01
XRP,72750000000.0,79.30505876341338,2025-07-01
XRP,73000000000.0,79.5775847385454,2025-08-01
XRP,73250000000.0,79.8501107136774,2025-09-01
XRP,73500000000.0,80.12263668880941,2025-10-01
XRP,73750000000.0,80.3951626639414,2025-11-01
XRP,74000000000.0,80.6676886390734,2025-12-01
XRP,74250000000.0,80.94021461420542,2026-01-01
XRP,74500000000.0,81.21274058933741,2026-02-01
XRP,74750000000.0,81.48526656446943,2026-03-01
XRP,75000000000.0,81.75779253960143,2026-04-01
XRP,75250000000.0,82.03031851473344,2026-05-01
XRP,75500000000.0,82.30284448986545,2026-06-01
XRP,75750000000.0,82.57537046499745,2026-07-01
XRP,76000000000.0,82.84789644012946,2026-08-01
XRP,76250000000.0,83.12042241526146,2026-09-01
XRP,76500000000.0,83.39294839039346,2026-10-01
XRP,76750000000.0,83.66547436552545,2026-11-01
XRP,77000000000.0,83.93800034065747,2026-12-01
XRP,77250000000.0,84.21052631578947,2027-01-01
XRP,77500000000.0,84.48305229092148,2027-02-01
XRP,77750000000.0,84.75557826605349,2027-03-01
XRP,78000000000.0,85.02810424118549,2027-04-01
XRP,78250000000.0,85.3006302163175,2027-05-01
XRP,78500000000.0,85.5731561914495,2027-06-01
XRP,78750000000.0,85.84568216658151,2027-07-01
XRP,79000000000.0,86.11820814171351,2027-08-01
XRP,79125000000.0,86.25447112927951,2027-09-01
XRP,79250000000.0,86.39073411684551,2027-10-01
XRP,79375000000.0,86.52699710441152,2027-11-01
XRP,79500000000.0,86.6632600919775,2027-12-01
XRP,79625000000.0,86.79952307954352,2028-01-01
XRP,79750000000.0,86.93578606710952,2028-02-01
XRP,79875000000.0,87.07204905467553,2028-03-01
XRP,80000000000.0,87.20831204224153,2028-04-01
XRP,80125000000.0,87.34457502980753,2028-05-01
XRP,80250000000.0,87.48083801737353,2028-06-01
XRP,80375000000.0,87.61710100493954,2028-07-01
XRP,80500000000.0,87.75336399250554,2028-08-01
XRP,80625000000.0,87.88962698007154,2028-09-01
XRP,80750000000.0,88.02588996763754,2028-10-01
XRP,80875000000.0,88.16215295520354,2028-11-01
XRP,81000000000.0,88.29841594276955,2028-12-01
XRP,81125000000.0,88.43467893033555,2029-01-01
XRP,81250000000.0,88.57094191790155,2029-02-01
XRP,81375000000.0,88.70720490546755,2029-03-01
XRP,81500000000.0,88.84346789303356,2029-04-01
XRP,81625000000.0,88.97973088059956,2029-05-01
XRP,81750000000.0,89.11599386816556,2029-06-01
XRP,81875000000.0,89.25225685573156,2029-07-01
XRP,82000000000.0,89.38851984329756,2029-08-01
XRP,82125000000.0,89.52478283086357,2029-09-01
XRP,82250000000.0,89.66104581842957,2029-10-01
XRP,82375000000.0,89.79730880599557,2029-11-01
XRP,82500000000.0,89.93357179356157,2029-12-01
XRP,82625000000.0,90.06983478112758,2030-01-01
XRP,82750000000.0,90.20609776869358,2030-02-01
XRP,82875000000.0,90.34236075625958,2030-03-01
XRP,83000000000.0,90.47862374382558,2030-04-01
