coin,total_supply,total_supply_pct,date
XRP,40000000000.0,43.604156021120765,2018-12-01
XRP,40500000000.0,44.149207971384776,2019-01-01
XRP,46500000000.0,50.68983137455289,2020-01-01
XRP,52500000000.0,57.23045477772099,2021-01-01
XRP,58500000000.0,63.77107818088912,2022-01-01
XRP,64500000000.0,70.31170158405723,2023-01-01
XRP,68250000000.0,74.39959121103729,2024-01-01
XRP,71250000000.0,77.66990291262135,2025-01-01
XRP,74250000000.0,80.94021461420542,2026-01-01
XRP,77250000000.0,84.21052631578947,2027-01-01
XRP,79625000000.0,86.79952307954352,2028-01-01
XRP,81125000000.0,88.43467893033555,2029-01-01
XRP,82625000000.0,90.06983478112758,2030-01-01
XRP,84125000000.0,91.7049906319196,2031-01-01
XRP,85562500000.0,93.27201498892863,2032-01-01
XRP,86312500000.0,94.08959291432465,2033-01-01
XRP,87062500000.0,94.90717083972065,2034-01-01
XRP,87812500000.0,95.72474876511667,2035-01-01
XRP,88562500000.0,96.5423266905127,2036-01-01
XRP,89031250000.0,97.0533128938852,2037-01-01
XRP,89406250000.0,97.4621018565832,2038-01-01
XRP,89781250000.0,97.87089081928121,2039-01-01
XRP,90156250000.0,98.27967978197923,2040-01-01
XRP,90453125000.0,98.60330437744848,2041-01-01
XRP,90640625000.0,98.80769885879748,2042-01-01
XRP,90828125000.0,99.01209334014648,2043-01-01
XRP,91015625000.0,99.21648782149549,2044-01-01
XRP,91195312500.0,99.4123658661216,2045-01-01
XRP,91289062500.0,99.51456310679612,2046-01-01
XRP,91382812500.0,99.61676034747062,2047-01-01
XRP,91476562500.0,99.71895758814512,2048-01-01
XRP,91570312500.0,99.82115482881963,2049-01-01
XRP,91628906250.0,99.88502810424119,2050-01-01
XRP,91675781250.0,99.93612672457843,2051-01-01
XRP,91722656250.0,99.98722534491569,2052-01-01
