coin,block,total_supply,total_supply_pct,date
ZEC,0,0.0,0.0,2016-10-01
ZEC,2102,1381.408125,0.006611145187455505,2016-11-01
ZEC,19969,124619.040625,0.5964020015397627,2016-12-01
ZEC,37836,347956.25,1.6652495710726793,2017-01-01
ZEC,55703,571293.75,2.7340985314791806,2017-02-01
ZEC,71468,768356.25,3.6772005553672695,2017-03-01
ZEC,89335,991693.75,4.7460495157737705,2017-04-01
ZEC,106151,1201893.75,5.752025007921065,2017-05-01
ZEC,124018,1425231.25,6.820873968327566,2017-06-01
ZEC,141885,1648568.75,7.889722928734068,2017-07-01
ZEC,159752,1871906.25,8.958571889140568,2017-08-01
ZEC,177619,2095243.75,10.02742084954707,2017-09-01
ZEC,194435,2305443.75,11.033396341694363,2017-10-01
ZEC,212302,2528781.25,12.102245302100865,2017-11-01
ZEC,230169,2752118.75,13.171094262507365,2017-12-01
ZEC,248036,2975456.25,14.239943222913867,2018-01-01
ZEC,265903,3198793.75,15.308792183320369,2018-02-01
ZEC,281668,3395856.25,16.251894207208455,2018-03-01
ZEC,299535,3619193.75,17.320743167614957,2018-04-01
ZEC,316351,3829393.75,18.326718659762253,2018-05-01
ZEC,334218,4052731.25,19.395567620168755,2018-06-01
ZEC,352085,4276068.75,20.464416580575254,2018-07-01
ZEC,369952,4499406.25,21.533265540981755,2018-08-01
ZEC,387819,4722743.75,22.602114501388257,2018-09-01
ZEC,404635,4932943.75,23.608089993535554,2018-10-01
ZEC,422502,5156281.25,24.676938953942052,2018-11-01
ZEC,440369,5379618.75,25.745787914348554,2018-12-01
ZEC,458236,5602956.25,26.814636874755056,2019-01-01
ZEC,476103,5826293.75,27.883485835161554,2019-02-01
ZEC,491868,6023356.25,28.826587859049646,2019-03-01
ZEC,509735,6246693.75,29.895436819456144,2019-04-01
ZEC,526551,6456893.75,30.901412311603437,2019-05-01
ZEC,544418,6680231.25,31.970261272009942,2019-06-01
ZEC,562285,6903568.75,33.03911023241644,2019-07-01
ZEC,580152,7126906.25,34.107959192822946,2019-08-01
ZEC,598019,7350243.75,35.176808153229445,2019-09-01
ZEC,614835,7560443.75,36.18278364537674,2019-10-01
ZEC,632702,7783781.25,37.25163260578324,2019-11-01
ZEC,650569,8007118.75,38.32048156618974,2019-12-01
ZEC,668436,8230456.25,39.38933052659625,2020-01-01
ZEC,686303,8453793.75,40.458179487002745,2020-02-01
ZEC,703119,8663993.75,41.46415497915004,2020-03-01
ZEC,720986,8887331.25,42.533003939556544,2020-04-01
ZEC,737802,9097531.25,43.53897943170384,2020-05-01
ZEC,755669,9320868.75,44.607828392110335,2020-06-01
ZEC,772485,9531068.75,45.61380388425763,2020-07-01
ZEC,790352,9754406.25,46.68265284466413,2020-08-01
ZEC,808219,9977743.75,47.75150180507063,2020-09-01
ZEC,826086,10201081.25,48.82035076547713,2020-10-01
ZEC,843953,10405706.25,49.7996454138151,2020-11-01
ZEC,860769,10510806.25,50.30263315988874,2020-12-01
ZEC,878636,10622475.0,50.837057640092,2021-01-01
ZEC,896503,10734143.75,51.37148212029524,2021-02-01
ZEC,913319,10839243.75,51.87446986636889,2021-03-01
ZEC,931186,10950912.5,52.40889434657214,2021-04-01
ZEC,948002,11056012.5,52.91188209264579,2021-05-01
ZEC,965869,11167681.25,53.446306572849046,2021-06-01
ZEC,982685,11272781.25,53.94929431892269,2021-07-01
ZEC,1000552,11384450.0,54.48371879912594,2021-08-01
ZEC,1018419,11496118.75,55.01814327932919,2021-09-01
ZEC,1036286,11607787.5,55.552567759532444,2021-10-01
ZEC,1054153,11719456.25,56.086992239735686,2021-11-01
ZEC,1070969,11824556.25,56.589979985809336,2021-12-01
ZEC,1088836,11936225.0,57.12440446601259,2022-01-01
ZEC,1106703,12047893.75,57.658828946215834,2022-02-01
ZEC,1123519,12152993.75,58.16181669228949,2022-03-01
ZEC,1141386,12264662.5,58.69624117249273,2022-04-01
ZEC,1158202,12369762.5,59.199228918566384,2022-05-01
ZEC,1176069,12481431.25,59.73365339876964,2022-06-01
ZEC,1193936,12593100.0,60.26807787897288,2022-07-01
ZEC,1210752,12698200.0,60.77106562504654,2022-08-01
ZEC,1228619,12809868.75,61.30549010524978,2022-09-01
ZEC,1246486,12921537.5,61.83991458545304,2022-10-01
