coin,block,total_supply,total_supply_pct,date
ZEC,0,0.0,0.0,2016-10-01
ZEC,37836,347956.25,1.6652495710726793,2017-01-01
ZEC,248036,2975456.25,14.239943222913867,2018-01-01
ZEC,458236,5602956.25,26.814636874755056,2019-01-01
ZEC,668436,8230456.25,39.38933052659625,2020-01-01
ZEC,878636,10622475.0,50.837057640092,2021-01-01
ZEC,1088836,11936225.0,57.12440446601259,2022-01-01
ZEC,1299036,13249975.0,63.411751291933186,2023-01-01
ZEC,1509236,14563725.0,69.69909811785378,2024-01-01
ZEC,1720487,15763518.75,75.44107294245653,2025-01-01
ZEC,1930687,16420393.75,78.58474635541683,2026-01-01
ZEC,2140887,17077268.75,81.72841976837712,2027-01-01
ZEC,2351087,17734143.75,84.87209318133742,2028-01-01
ZEC,2562338,18332648.4375,87.73641786050143,2029-01-01
ZEC,2772538,18661085.9375,89.30825456698159,2030-01-01
ZEC,2982738,18989523.4375,90.88009127346173,2031-01-01
ZEC,3192938,19317960.9375,92.45192797994189,2032-01-01
ZEC,3403138,19615696.09375,93.87682936118901,2033-01-01
ZEC,3613338,19779914.84375,94.66274771442907,2034-01-01
ZEC,3823538,19944133.59375,95.44866606766915,2035-01-01
ZEC,4033738,20108352.34375,96.23458442090923,2036-01-01
ZEC,4244989,20257692.96875,96.94929902001465,2037-01-01
ZEC,4455189,20339802.34375,97.34225819663467,2038-01-01
ZEC,4665389,20421911.71875,97.73521737325473,2039-01-01
ZEC,4875589,20504021.09375,98.12817654987475,2040-01-01
ZEC,5086840,20578517.3828125,98.4847010077853,2041-01-01
ZEC,5297040,20619572.0703125,98.68118059609532,2042-01-01
ZEC,5507240,20660626.7578125,98.87766018440533,2043-01-01
ZEC,5717440,20701681.4453125,99.07413977271536,2044-01-01
ZEC,5927640,20738739.94140625,99.25149438187877,2045-01-01
ZEC,6138891,20759369.921875,99.35022537500456,2046-01-01
ZEC,6349091,20779897.265625,99.44846516915956,2047-01-01
ZEC,6559291,20800424.609375,99.54670496331457,2048-01-01
ZEC,6769491,20818910.3515625,99.63517405748573,2049-01-01
ZEC,6979691,20829174.0234375,99.68429395456323,2050-01-01
ZEC,7189891,20839437.6953125,99.73341385164073,2051-01-01
ZEC,7400091,20849701.3671875,99.78253374871824,2052-01-01
ZEC,7611342,20858973.803710938,99.82690979008395,2053-01-01
ZEC,7821542,20864105.639648438,99.85146973862268,2054-01-01
ZEC,8031742,20869237.475585938,99.87602968716145,2055-01-01
ZEC,8241942,20874369.311523438,99.9005896357002,2056-01-01
ZEC,8453193,20878994.653320312,99.92272560378042,2057-01-01
ZEC,8663393,20881560.571289062,99.93500557804978,2058-01-01
ZEC,8873593,20884126.489257812,99.94728555231916,2059-01-01
ZEC,9083793,20886692.407226562,99.95956552658853,2060-01-01
ZEC,9293993,20888993.225097656,99.97057678439165,2061-01-01
ZEC,9504193,20890276.18408203,99.97671677152634,2062-01-01
ZEC,9714393,20891559.143066406,99.98285675866103,2063-01-01
ZEC,9924593,20892842.10205078,99.98899674579572,2064-01-01
ZEC,10135844,20893996.20666504,99.99452006148229,2065-01-01
ZEC,10346044,20894637.686157227,99.99759005504963,2066-01-01
