date,BTC,BTS,DASH,DOGE,EOS,ETC,ETH,GAS,IOTA,LTC,NANO,NEO,TRX,XEM,XLM,XMR,XRP,ZEC
2009-01-01,0.0002380952381307171,,,,,,,,,,,,,,,,,
2010-01-01,12.445952382806974,,,,,,,,,,,,,,,,,
2011-01-01,24.96023809895746,,,,,,,,,,,,,,,,,
2011-10-01,31.2173809570327,,,,,,,,,5.9455859978418215e-05,,,,,,,,
2012-01-01,37.474523815107936,,,,,,,,,2.9452649357509033,,,,,,,,
2013-01-01,50.01154762649992,,,,,,,,,15.479511512961116,,,,,,,,
2013-12-01,53.140119055537546,,,8.090811920257929e-05,,,,,,21.72951151389244,,,,,,,,
2014-01-01,56.268690484575174,,,3.4021055043492563,,,,,,27.979511514823766,,,,,,,,
2014-02-01,57.83297619909398,,,6.513326725230121,,,,,,31.104511515289428,,50.0,,,,,,
2014-04-01,59.39726191361279,,,9.624547946110985,,,,,,34.229511515755085,,50.0,,,,0.09365279461250807,,
2014-07-01,60.9615476281316,,23.418300470367214,12.73576916699185,,,,,,37.35451151622075,,50.0,,,,5.169009719532628,,
2015-01-01,62.5258333426504,,25.787787499529447,15.846990387872713,,,,,,40.47951151668641,,50.0,,,,10.244366644452748,,
2015-04-01,64.09011905716922,,27.052631270330107,16.06697852734925,,,,,,43.23207257826476,,50.0,,100.0,,12.596546078776772,,
2015-07-01,65.65440477168804,,28.31747504113077,16.286966666825787,,33.530033686481374,10.561781030200004,,,45.98463363984311,,50.0,,100.0,,14.948725513100797,,
2015-10-01,67.21869048620684,66.98938943493631,29.58231881193143,16.50695480630232,,35.08498883881991,11.051583575116695,,,48.73719470142146,,50.0,,100.0,0.6282403313401503,17.30090494742482,,
2016-01-01,68.78297620072566,67.8483531127434,30.84716258273209,16.72694294577886,,36.63994399115844,11.541386120033385,,,51.48975576299981,,50.0,,100.0,1.2224919963612924,19.653084381748844,,
2016-10-01,71.90580358214338,69.73215125490708,33.21094426166036,17.152196020307613,,40.11076668870178,12.634676680635494,,,54.623317407302366,,50.0,,100.0,2.4184506857796624,22.50787905706612,,0.0
2017-01-01,75.0286309635611,71.61594939707075,35.57472594058863,17.577449094836368,,43.58158938624512,13.727967241237602,,,57.756879051604926,,50.0,,100.0,3.614409375198033,25.3626737323834,,1.6652495710726791
2017-06-01,75.65434524936862,72.29316738962628,36.45345167149999,17.74755032464787,,44.433345199947055,13.99142485687592,,100.0,59.00687905179119,,53.0,,100.0,4.106939783446688,26.05177509378525,,4.180188301440916
2017-07-01,76.28005953517615,72.97038538218179,37.332177402411354,17.917651554459376,89.99999999999912,45.285101013649,14.254882472514238,7.000000000000002e-06,100.0,60.25687905197746,,56.0,,100.0,4.5994701916953415,26.7408764551871,,6.695127031809154
2017-09-01,76.90577382098367,73.64760337473732,38.21090313332271,18.08775278427088,90.17307692307607,46.13685682735093,14.518340088152554,1.8028149999999996,100.0,61.50687905216372,,59.0,41.23513156313445,100.0,5.092000599943996,27.429977816588945,,9.21006576217739
2017-10-01,77.5314881067912,74.32482136729283,39.08962886423407,18.257854014082383,90.346153846153,46.988612641052875,14.781797703790872,3.605622999999999,100.0,62.75687905234999,100.0,62.0,41.289198606267945,100.0,5.58453100819265,28.119079177990795,,11.72500449254563
2018-01-01,78.15720239259872,75.00203935984835,39.968354595145435,18.427955243893887,90.51923076922995,47.84036845475481,15.04525531942919,5.408430999999998,100.0,64.00687905253625,100.0,65.0,41.34326564940144,100.0,6.077061416441305,28.808180539392644,,14.239943222913865
2018-12-01,79.72148810711752,76.46669575438949,42.01569259413339,18.853208318422645,91.01923076922999,50.04077668866585,15.491930449440975,10.7525145,100.0,67.13187905300191,100.0,65.0,42.014898474104044,100.0,7.297412365675774,29.851417257185215,43.60415602112078,20.52729004883446
2019-01-01,81.28577382163633,77.93135214893064,44.06303059312135,19.2784613929514,91.51923076923003,52.24118492257689,15.93860557945276,16.096598,100.0,70.25687905346757,100.0,65.0,42.68653129880665,100.0,8.517763314910242,30.894653974977786,44.149207971384776,26.814636874755053
2020-01-01,84.41434525067395,80.51740211117425,47.87908229266096,20.128967542008915,92.51923076923012,56.642001390398995,16.322222100582785,25.557398000000003,100.0,75.75343953278737,100.0,65.0,44.02979694821186,100.0,10.982992305151667,32.15814629736892,50.68983137455289,39.389330526596254
